name,province,code,level,type,dept,city,adminarea,protect,area,years
上海崇明东滩鸟类,上海市,31411001,国家级,野生动物,林业部门,上海市,崇明县,迁徙水鸟及河口湿地生态系统,24155.0,19981116
上海九段沙湿地国家级自然保护区,上海市,31412002,国家级,湿地生态,环保部门,上海市,上海市浦东新区,湿地生态系统、濒危水生生物及鸟类,42020.0,20000306
上海长江口中华鲟,上海市,31423005,省级,湿地生态,农业部门,上海市,崇明县,中华鲟等珍稀鱼类,27600.0,20020427
上海金山三岛,上海市,31524004,省级,海洋海岸,海洋部门,上海市,金山区,海岛、中亚热带常绿阔叶林,46.0,19911005
龙血树保护区,云南省,53000199,---,---,---,云南省,,,0.0,0
小勐养保护区,云南省,53000200,---,---,---,云南省,,,0.0,0
泸西自然保护区,云南省,53000201,---,---,---,云南省,,,0.0,0
云南药山,云南省,53111002,国家级,森林生态,林业部门,云南省,巧家县,高山水源林及多种药用植物,20141.0,19840405
云南分水岭,云南省,53111006,国家级,森林生态,林业部门,云南省,金平,山地苔藓常绿阔叶林,42027.0,1986
云南永德大雪山,云南省,53111007,国家级,森林生态,林业部门,云南省,永德县,亚热带常绿阔叶林及野生动物,17541.0,19860320
云南黄连山,云南省,53111010,国家级,森林生态,林业部门,云南省,绿春县,亚热带常绿阔叶林、野生动植物,65058.0,19830427
云南文山,云南省,53111011,国家级,森林生态,林业部门,云南省,文山县、西畴县,岩溶中山南亚热带季风常绿阔叶林、亚热带山地苔藓常绿阔叶林以及野生动植物,26867.0,19800605
云南哀牢山,云南省,53111012,国家级,森林生态,林业部门,云南省,新平彝族傣族自治县、楚雄市、南华县、双柏县、景东彝族自治县、镇沅彝族哈尼族拉祜族自治县,中山湿性常绿阔叶林及黑冠长臂猿等野生动植物,67700.0,19880509
云南西双版纳,云南省,53111013,国家级,森林生态,林业部门,云南省,景洪市、勐海县、勐腊县,热带森林生态系统及珍稀野生动植物,241776.0,19581009
云南高黎贡山,云南省,53111015,国家级,森林生态,林业部门,云南省,保山、腾冲、泸水、福贡、景东、镇西、楚雄、双柏、南华等市县,森林植被垂直带谱、珍稀动植物,405200.0,19830101
云南大围山,云南省,53111016,国家级,森林生态,林业部门,云南省,屏边苗族自治县、河口瑶族自治县、个旧市、蒙自县,南亚热带常绿阔叶林及珍稀动物,43992.6,19860320
