term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,5.02391711397375,0.9975704145582587,3.41225282,7.3627439925
delta_t_mean,0.02628079062385975,0.03465071368759124,-0.040466439650000005,0.09475487264999999
delta_t_extreme,-0.011909227512112324,0.03610411493417517,-0.08347273927499999,0.05755674154999999
delta_forest,0.05777332078021,0.023264044750309982,0.01262999215,0.10358758024999999
delta_impervious,-0.07711759510658375,0.03270121935944804,-0.1402166775,-0.012462539000000005
delta_natural,-0.03327182052047292,0.015195651444048379,-0.063107413275,-0.0033589810925000033
delta_hfi,0.040342234701144876,0.0347834668509862,-0.027597428099999998,0.10909188675
bio11,-0.134967662295125,0.020095849330179383,-0.17473246150000002,-0.095688752875
elev_mean,-0.083344080951625,0.017206987246275597,-0.11723460725,-0.04957227915
centroid_lon,0.9303166440962375,0.5002648646512439,0.10731842575,2.056859349999999
centroid_lat,-1.65580488022225,0.6690763953873037,-3.2604741125,-0.5727548982500005
