term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,8.6776664141625,1.7733139222813916,5.331312130000001,12.347388725
delta_t_mean,0.034487860343530866,0.07125154547581655,-0.101256159,0.177079851
delta_t_extreme,0.09721957915570763,0.074218184704999,-0.048625137525,0.24186024499999995
delta_forest,0.10227397408179563,0.046468635049216056,0.01086025885,0.1939027965
delta_impervious,0.011364566546997162,0.06621644133538389,-0.11992849725,0.14011939024999998
delta_natural,-0.0277639130041195,0.03066174683131244,-0.087930954325,0.032098610749999985
delta_hfi,0.03437878284744275,0.06939923127916246,-0.101378037,0.169050658
bio11,-0.302064934375,0.038997437387845384,-0.37724029,-0.22493974675000003
elev_mean,-0.0784792836523325,0.03326966350191259,-0.144003703,-0.014034242525000004
centroid_lon,2.0844450650204824,0.862465188433919,0.41893235125,3.872892342499998
centroid_lat,-2.5308756002157,1.271821281565446,-5.229793332500001,-0.21307370775000012
