term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,0.1208258918307875,0.08083687843321058,-0.0025924078674999995,0.311831206
delta_t_mean,-6.711199633661086e-4,4.893169625048293e-4,-0.0016207213375,3.0111392874999986e-4
delta_t_extreme,3.6470598895456e-4,5.077083928820017e-4,-6.268723655e-4,0.0013430566449999998
delta_forest,1.2781711186812375e-4,2.7749089335609404e-4,-4.0756419300000006e-4,6.649271267499995e-4
delta_impervious,-1.2050753754343025e-4,4.0405857688976767e-4,-9.043322554999999e-4,6.7152054225e-4
delta_natural,-3.89669880238115e-4,1.8277719474298364e-4,-7.504156524999999e-4,-3.487595862500003e-5
delta_hfi,1.14729167489031e-4,4.153540567246264e-4,-7.1277900375e-4,9.164544612499998e-4
bio11,-6.07287073455475e-4,2.654892775224928e-4,-0.00113757472,-9.167125312500011e-5
elev_mean,-5.82204237622725e-4,2.0906937277051214e-4,-9.84392477e-4,-1.6991674875000006e-4
centroid_lon,0.049172743134714834,0.04400825939330956,-0.016312828624999998,0.14902157574999997
centroid_lat,-0.09606610401235025,0.05119232493634177,-0.211216283,-0.012155908675000002
