term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-0.00788764408724245,0.04252800617598414,-0.08713101875,0.07984737137499995
delta_t_mean,0.001390102260385025,0.005094572251713216,-0.008353060777499999,0.011530131499999997
delta_t_extreme,0.00974425850182005,0.005285958520780844,-6.329345119999996e-4,0.020044404674999995
delta_forest,-0.0025429584311918,0.0034934321577127225,-0.0093507423925,0.004200162117499999
delta_impervious,0.002325749861236725,0.004873034882330123,-0.00750220909,0.011886385749999992
delta_natural,0.00348900673405859,0.0023010503484897065,-9.750669107499998e-4,0.007971122997499993
delta_hfi,8.596909583911e-4,0.005126557016320472,-0.0093045697225,0.010919277675
bio11,0.007474438601590375,0.0029441300487540543,0.0016766547,0.013242936024999995
elev_mean,0.0230843126365,0.0024671729084046012,0.01826659955,0.027959189875
centroid_lon,-0.005516696098298925,0.019852623720121466,-0.03982683865,0.03660367984999993
centroid_lat,0.03304645636079079,0.03302608863715051,-0.03971976774999999,0.09268700622499998
