term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-0.021949036684230226,0.09268494775933582,-0.18474345849999999,0.1763269092499999
delta_t_mean,-0.0019508266242893662,0.011727768116548003,-0.024538458675,0.02124237574999999
delta_t_extreme,0.026831168739950118,0.012357652798425633,0.002817888612500001,0.05165525092499998
delta_forest,-0.0053685413884326325,0.008114469075034375,-0.020862250299999996,0.010434470125
delta_impervious,0.010359251961769988,0.011336868750899436,-0.012211696775,0.032276647774999986
delta_natural,0.007715973767913762,0.005356108063007639,-0.0027023256099999995,0.0184921039
delta_hfi,-0.0016128994959363624,0.01217336568958011,-0.0251614799,0.02248310642499999
bio11,0.014573397048121658,0.007129390271994364,7.228476877500001e-4,0.028666258599999998
elev_mean,0.050607125296875,0.005987437855685596,0.03892668185,0.06235767614999999
centroid_lon,-0.025013132744710637,0.041829206096629525,-0.099984313,0.06584190194999995
centroid_lat,0.09209627933440763,0.06871222293758218,-0.053578790875,0.21266542199999985
