term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,5.57216937861375,1.0954388817416782,3.8851254474999997,8.1003660675
delta_t_mean,0.009876447210997338,0.03302444755907406,-0.0544879145,0.07437227509999998
delta_t_extreme,-0.059548181151612374,0.03439055306539354,-0.1274907385,0.00819243378749997
delta_forest,0.059855817405415374,0.02143318357440822,0.01794110065,0.10245479349999999
delta_impervious,-0.08450567171264625,0.030080896886850516,-0.14345883125,-0.026271885325000008
delta_natural,-0.03864988524171738,0.013892087335036524,-0.06586973824999999,-0.011659502575000006
delta_hfi,0.02794410796857015,0.03171296124576769,-0.03294929619999999,0.09001487342499996
bio11,-0.158269019109375,0.01843422996629736,-0.19440837625000001,-0.12198682850000002
elev_mean,-0.147014645568375,0.015933334419329516,-0.17817660124999998,-0.11613876300000002
centroid_lon,0.5717021967844913,0.45797267228005584,-0.26768205875,1.5700073424999992
centroid_lat,-2.2026106038575,0.7611324358531392,-3.9700641025,-1.0486245900000004
