term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,8.4400839825925,1.3179443248997798,6.0325315725,11.249684775
delta_t_mean,0.07035383925843303,0.0573852077284647,-0.042285967524999996,0.18456433174999995
delta_t_extreme,-0.00649448111056885,0.05982355570558983,-0.123593019,0.11150258599999993
delta_forest,0.1314695145631125,0.03791499426832348,0.057469013524999994,0.20511208474999998
delta_impervious,-0.06308566726640888,0.05345179614110319,-0.16770318825,0.04126885479999999
delta_natural,-0.03786814651696814,0.024843592011719966,-0.08631228187500001,0.010980360874999998
delta_hfi,0.0353992637931055,0.05702669469579163,-0.0764253295,0.148331406
bio11,-0.322097794165,0.03251739905412545,-0.3856827585,-0.2580275462500001
elev_mean,-0.21807437432625,0.02803190465643861,-0.27340465349999993,-0.16265031350000003
centroid_lon,1.380693590534455,0.6496653579934467,0.17733817975,2.7419128550000003
centroid_lat,-2.2985377691968627,0.9329668924063991,-4.2728808175,-0.5943559637500015
