term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,1.339454428507375,0.4359551081805434,0.6189579290000001,2.34016324
delta_t_mean,-0.04360759348032176,0.014757436930571148,-0.071512363575,-0.015056713750000002
delta_t_extreme,0.013148786241277076,0.01508912553728497,-0.0166359173,0.04268092494999998
delta_forest,0.009343027650719222,0.009524471679149627,-0.00888216267,0.028095747849999998
delta_impervious,-0.009699183623935462,0.013952593936373983,-0.037683430000000004,0.01696189589999999
delta_natural,-0.012394352929362374,0.006255754688925698,-0.024618781575,-2.6566134225000334e-4
delta_hfi,-0.003672416176390975,0.014096744755636654,-0.031040031399999998,0.024822572199999997
bio11,-0.1448673016775,0.008333679065581738,-0.16115336225000002,-0.12844206125
elev_mean,-0.097216933090875,0.007011667063844782,-0.110931624,-0.08333278975000001
centroid_lon,-0.0129384038314223,0.23170392620660824,-0.35496612125,0.5365369242499998
centroid_lat,-0.8699714191584125,0.3495790180858907,-1.7029864224999998,-0.34009561675000016
