term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,1.005514117412375,0.3046027418334344,0.530175631,1.7059046999999983
delta_t_mean,-0.03095783386771,0.012594903864724795,-0.056023105,-0.005573237755000014
delta_t_extreme,0.0160746339575982,0.013087185996394773,-0.0094259497475,0.04221005819999999
delta_forest,0.004086149401004425,0.00847548656132365,-0.012521379199999998,0.020561283474999997
delta_impervious,0.0025935812536634875,0.012298543770661075,-0.021279611924999997,0.026602850174999998
delta_natural,-0.012561440558252738,0.005701587994240377,-0.02376162185,-0.0013309724025000057
delta_hfi,-0.0029641526058821,0.012787225358366313,-0.02768518955,0.021608353499999993
bio11,-0.1427292463575,0.007270903833631456,-0.15694075925,-0.12854252775
elev_mean,-0.077345058996375,0.006301312233881982,-0.08959375800000001,-0.06509404620000002
centroid_lon,-0.029035686546517375,0.126649971531245,-0.24254485574999998,0.2606312004999998
centroid_lat,-0.623089928467125,0.2277086357671759,-1.1517303675,-0.26166981250000027
