term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,21199.7119424125,3304.837724869016,15331.93655,28378.896999999997
delta_t_mean,116.70608395938424,153.15082209140778,-185.98982224999997,414.81601
delta_t_extreme,-53.35926416883012,164.55474828509495,-378.87227800000005,270.96523499999995
delta_forest,263.4523513788225,106.30444843138612,56.009191025,467.17790025
delta_impervious,-344.0457051962025,148.75747716065948,-632.0190605,-50.692703800000146
delta_natural,-152.71621028118625,68.92049427034353,-287.05896275,-14.248385700000016
delta_hfi,188.39399448333788,156.92733337917795,-123.25219575,494.22390499999983
bio11,-603.19065608125,89.84059953725276,-780.6195795,-427.12392525
elev_mean,-383.170138939625,79.30771999133701,-540.80716525,-228.0903357500001
centroid_lon,3836.493151703,1686.3418003893398,756.3924177500002,7604.060989999996
centroid_lat,-6772.945636775125,2443.629960170386,-12154.045150000002,-2540.6344700000004
