term,Estimate,Est.Error,Q2.5,Q97.5
Intercept,0.0275666432896575,0.005823479492249778,0.015843906050000002,0.03579512214999999
delta_t_mean,1.1462711652594875e-4,2.3540654425377133e-4,-3.3807001575e-4,5.798665612500001e-4
delta_t_extreme,5.200448190420687e-5,2.5662187667888e-4,-4.43809102e-4,5.569247527499997e-4
delta_forest,3.1798134992732e-4,1.5732041811800579e-4,2.691344677500001e-6,6.237742074999999e-4
delta_impervious,-7.411245786528275e-4,2.1848716635320789e-4,-0.0011646808025,-3.1368417400000034e-4
delta_natural,-9.193714091990184e-5,1.0215153247890291e-4,-2.8884933800000004e-4,1.0821253075e-4
delta_hfi,1.3092088504456238e-4,2.314066527014902e-4,-3.1851387324999996e-4,5.840129522499996e-4
bio11,-7.5044745846094e-5,1.331122744312017e-4,-3.3848145875e-4,1.8094738524999975e-4
elev_mean,3.8311172842288475e-5,1.1454392597104622e-4,-1.8360929499999996e-4,2.6483387274999995e-4
centroid_lon,1.778936340542125e-4,0.0021535989737518596,-0.0034262603925,0.004712772564999986
centroid_lat,-0.004419519328174764,0.0030550575624000765,-0.010555315525,0.0010867443249999989
