grid_cell,centroid_lon,centroid_lat,delta_t_mean,delta_t_extreme,delta_t_std,tmp_P1,tmp_P2,tmp_P3,tmp_P4,tmp_P5,tmx_P1,tmx_P2,tmx_P3,tmx_P4,tmx_P5
56,122.6259880512578,53.26185729168209,1.1033329963684082,0.6933330297470093,82.75005364423146,-4.106666564941406,-4.079999923706055,-3.9666666984558105,-3.7099997997283936,-2.9900002479553223,3.6683335304260254,3.6483333110809326,3.7200000286102295,3.9666664600372314,4.351666450500488
57,123.50381425901432,53.28723680119337,0.7700001001358032,0.5174999237060547,77.00001001358032,-3.076666831970215,-3.0899999141693115,-3.3366665840148926,-2.7716665267944336,-2.31333327293396,4.328333854675293,4.326666831970215,3.945000410079956,4.631666660308838,4.845000267028809
128,122.62003628231469,52.82123800100551,0.6208336353302002,0.030832767486572266,49.66650136374907,-4.313333511352539,-4.288333415985107,-4.733333587646484,-4.109999656677246,-3.679999828338623,3.7116668224334717,3.7300002574920654,3.179999828338623,3.6549999713897705,3.751666307449341
198,120.96829322790097,52.282076961806844,0.9875001907348633,0.7625002861022949,17.173950541522235,-3.625,-3.510000228881836,-3.898333787918091,-3.130000114440918,-2.5799999237060547,4.34999942779541,4.581666946411133,4.034999847412109,4.829999923706055,5.228333473205566
199,121.72172099819515,52.27498606676315,0.9216670989990234,0.2749999761581421,55.300078678206134,-4.925000190734863,-4.891666889190674,-5.136667251586914,-4.566666603088379,-3.986666440963745,3.318333864212036,3.304999828338623,2.933333396911621,3.370000123977661,3.5866668224334717
203,125.31498213467323,52.27498606676315,0.9225000143051147,0.40166664123535156,85.15439720058102,-2.3933334350585938,-2.4149999618530273,-2.311666488647461,-2.065000057220459,-1.4816666841506958,4.863333702087402,4.75333309173584,4.761666297912598,4.858333587646484,5.210000038146973
270,120.8482612732761,51.70552270449054,0.809999942779541,0.13249993324279785,21.130387729969772,-3.700000286102295,-3.62333345413208,-4.131666660308838,-3.1549997329711914,-2.8516669273376465,4.46999979019165,4.484999656677246,3.8349997997283936,4.681666374206543,4.609999656677246
271,121.72172099819515,51.72191801112358,0.9391665458679199,0.30083298683166504,15.873172579423285,-4.9816670417785645,-4.863333225250244,-5.273333549499512,-4.4916672706604,-3.9833335876464844,3.2933335304260254,3.375,2.8466668128967285,3.4816665649414062,3.6349997520446777
272,122.62003628231469,51.72191801112358,0.75,0.3474999666213989,75.0,-5.703333377838135,-5.703333377838135,-5.980000019073486,-5.381667137145996,-4.953333377838135,2.259999990463257,2.205000400543213,1.8516666889190674,2.4533333778381348,2.580000162124634
274,124.41666685055372,51.72191801112358,0.528333306312561,0.028333544731140137,26.416847965381383,-3.858333110809326,-3.818333387374878,-4.326666831970215,-3.7916667461395264,-3.309999942779541,3.878333330154419,3.821666717529297,3.2250003814697266,3.6500003337860107,3.878333568572998
276,126.17024356538282,51.702582948461824,0.5599997639656067,0.6016669273376465,42.000491744284034,-0.9000000953674316,-0.9266664385795593,-1.4200000762939453,-0.8083332180976868,-0.3533335030078888,5.473333358764648,5.446666717529297,4.888333797454834,5.660000324249268,6.061666965484619
341,120.05288481088691,51.1289574617765,0.8441665172576904,0.4608330726623535,15.5846446382119,-3.2816665172576904,-3.1733334064483643,-3.5333335399627686,-2.7750000953674316,-2.383333444595337,4.486666202545166,4.5550007820129395,4.018333435058594,4.850000381469727,4.981666564941406
342,120.82340571407563,51.1620009602833,0.6724996566772461,0.08666622638702393,67.24996566772461,-4.164999961853027,-4.146666526794434,-4.798333644866943,-3.7900002002716064,-3.4833335876464844,3.8350002765655518,3.698333740234375,2.9583334922790527,3.9233334064483643,3.8533332347869873
343,121.72172099819515,51.1620009602833,0.7083327770233154,0.47833383083343506,53.12405900759946,-4.96999979019165,-4.99666690826416,-5.464999675750732,-4.706666469573975,-4.27500057220459,2.994999885559082,2.8983333110809326,2.2866663932800293,3.2249999046325684,3.4250004291534424
344,122.62003628231469,51.1620009602833,0.7074997425079346,0.27249956130981445,40.42818217735453,-4.741666793823242,-4.706666469573975,-5.241666793823242,-4.320000648498535,-4.016666889190674,3.398333787918091,3.3633334636688232,2.6416666507720947,3.5816664695739746,3.6533331871032715
345,123.51835156643419,51.1620009602833,0.5991665124893188,0.1874997615814209,59.916651248931885,-3.9700000286102295,-3.9583334922790527,-4.523333549499512,-3.6433334350585938,-3.3650002479553223,4.023333549499512,4.011666774749756,3.3399996757507324,4.15166711807251,4.204999923706055
347,125.31498213467323,51.1620009602833,0.4474998116493225,0.5916669368743896,44.74998116493225,-1.7966667413711548,-1.7849998474121094,-2.2699999809265137,-1.78000009059906,-1.3433334827423096,5.075000286102295,5.078332901000977,4.513333320617676,5.273333549499512,5.668333530426025
412,119.34348521922756,50.476663395402674,0.6899997778236866,0.11083483695983887,34.50002179296903,-0.7683332562446594,-0.7283332943916321,-1.3849998712539673,-0.35833320021629333,-0.05833349749445915,6.429999351501465,6.4549994468688965,5.668333530426025,6.5833330154418945,6.5533342361450195
413,119.92545525326737,50.594981556312646,0.7058333158493042,0.2758340835571289,29.206851646318906,-1.9549999237060547,-2.003333330154419,-2.5099997520446777,-1.6799999475479126,-1.2733333110809326,5.561666488647461,5.456665992736816,4.741666793823242,5.641666889190674,5.785000324249268
414,120.82340571407563,50.59520423372765,0.6750000715255737,0.25333380699157715,57.85720416483595,-3.375,-3.3516666889190674,-4.00166654586792,-2.988333225250244,-2.68833327293396,4.5149993896484375,4.461666584014893,3.603332996368408,4.671666622161865,4.741666793823242
415,121.72172099819515,50.59520423372765,0.7350001335144043,0.6033332347869873,29.399893188884015,-4.543333530426025,-4.493333339691162,-5.0316667556762695,-4.085000038146973,-3.7833333015441895,3.4050002098083496,3.358333110809326,2.6533331871032715,3.8216662406921387,3.984999895095825
416,122.62003628231469,50.59520423372765,0.48000025749206543,0.21833300590515137,19.199937057735223,-3.7766671180725098,-3.7266669273376465,-4.314999580383301,-3.6716666221618652,-3.2716667652130127,4.146666526794434,4.12000036239624,3.385000705718994,4.184999942779541,4.351666450500488
417,123.51835156643419,50.59520423372765,0.5966664552688599,0.33083319664001465,59.666645526885986,-2.6533331871032715,-2.6433331966400146,-3.2150001525878906,-2.3533332347869873,-2.051666736602783,5.270000457763672,5.235000133514404,4.605000019073486,5.506666660308838,5.583333492279053
418,124.41666685055372,50.59520423372765,0.540833592414856,0.4649994373321533,30.90470092165585,-2.1700000762939453,-2.134999990463257,-2.7266666889190674,-1.9049999713897705,-1.6116664409637451,5.3516669273376465,5.328333854675293,4.610000133514404,5.660000324249268,5.804999828338623
483,118.46972250206176,49.791925528401364,0.7333331108093262,0.4308335781097412,27.499956414159364,-0.4666665196418762,-0.41333311796188354,-1.0816667079925537,-0.0033333837054669857,0.2933332920074463,6.433333396911621,6.421666622161865,5.5849995613098145,6.766667366027832,6.858333587646484
