parameter,group,rhat,ess
beta.comm[1],beta.comm,1,113.53875598107196
beta.comm[2],beta.comm,1,75.55837533814169
beta.comm[3],beta.comm,1,106.78994769296774
beta.comm[4],beta.comm,1,89.62291276986339
beta.comm[5],beta.comm,1,88.97178917032046
beta.comm[6],beta.comm,1,59.99999999999999
beta.comm[7],beta.comm,1,116.06971751067114
beta.comm[8],beta.comm,1,117.86901085484317
beta.comm[9],beta.comm,1,92.90381527644941
beta.comm[10],beta.comm,1,74.87221818223802
beta.comm[11],beta.comm,1,126.39749970678345
beta.comm[12],beta.comm,1,79.04295461308462
beta.comm[13],beta.comm,1,77.14452417592888
beta.comm[14],beta.comm,1,75.50145838028132
beta.comm[15],beta.comm,1,93.90427908731537
beta.comm[16],beta.comm,1,127.93258818303856
beta.comm[17],beta.comm,1,75.00997386918405
beta.comm[18],beta.comm,1,74.57240015264912
beta.comm[19],beta.comm,1,117.24336324665582
beta.comm[20],beta.comm,1,117.98001598921277
beta.comm[21],beta.comm,1,96.21767458116098
beta.comm[22],beta.comm,1,59.999999999999986
beta.comm[23],beta.comm,1,74.54617393505148
beta.comm[24],beta.comm,1,79.0940263332067
beta.comm[25],beta.comm,1,60
beta.comm[26],beta.comm,1,91.4035002122351
beta.comm[27],beta.comm,1,106.27435873645217
beta.comm[28],beta.comm,1,120.6837474800177
beta.comm[29],beta.comm,1,60
beta.comm[30],beta.comm,1,60
beta.comm[31],beta.comm,1,94.52178850173507
beta.comm[32],beta.comm,1,76.56039283591039
beta.comm[33],beta.comm,1,106.96625393095772
beta.comm[34],beta.comm,1,107.52195454519476
beta.comm[35],beta.comm,1,75.12513627241783
beta.comm[36],beta.comm,1,60
beta.comm[37],beta.comm,1,75.96721367987055
beta.comm[38],beta.comm,1,92.7090712886469
beta.comm[39],beta.comm,1,60
beta.comm[40],beta.comm,1,111.61379964693064
beta.comm[41],beta.comm,1,80.33088430783133
beta.comm[42],beta.comm,1,95.62393110669434
beta.comm[43],beta.comm,1,76.351161175674
beta.comm[44],beta.comm,1,112.53121007222992
beta.comm[45],beta.comm,1,94.92781591267506
beta.comm[46],beta.comm,1,60
beta.comm[47],beta.comm,1,104.47254606066657
beta.comm[48],beta.comm,1,109.58117206349381
beta.comm[49],beta.comm,1,60
beta.comm[50],beta.comm,1,89.11141019215239
beta.comm[51],beta.comm,1,98.86719529137719
beta.comm[52],beta.comm,1,96.58775331481318
beta.comm[53],beta.comm,1,107.78474776781584
beta.comm[54],beta.comm,1,74.40458126595155
beta.comm[55],beta.comm,1,74.95637127888871
beta.comm[56],beta.comm,1,133.51499330589985
beta.comm[57],beta.comm,1,77.1298368852328
beta.comm[58],beta.comm,1,91.04729723859158
beta.comm[59],beta.comm,1,80.99729731699634
beta.comm[60],beta.comm,1,108.04373704647638
beta.comm[61],beta.comm,1,110.52821203267507
beta.comm[62],beta.comm,1,108.71113553790452
beta.comm[63],beta.comm,1,99.02889369401929
beta.comm[64],beta.comm,1,97.83806551982944
beta.comm[65],beta.comm,1,97.21350703895817
beta.comm[66],beta.comm,1,90.7972500911701
beta.comm[67],beta.comm,1,109.77867126551537
beta.comm[68],beta.comm,1,105.93828440075471
beta.comm[69],beta.comm,1,92.53844895273009
beta.comm[70],beta.comm,1,98.88904954496907
beta.comm[71],beta.comm,1,75.57890852032048
beta.comm[72],beta.comm,1,95.31322760995735
beta.comm[73],beta.comm,1,76.74294083924484
beta.comm[74],beta.comm,1,92.61515726229592
beta.comm[75],beta.comm,1,103.4557686013884
beta.comm[76],beta.comm,1,76.51300696151384
beta.comm[77],beta.comm,1,60
beta.comm[78],beta.comm,1,85.07288124120585
beta.comm[79],beta.comm,1,91.24483627772833
beta.comm[80],beta.comm,1,109.92084006153964
beta.comm[81],beta.comm,1,74.32102584758366
beta.comm[82],beta.comm,1,75.60529887179197
beta.comm[83],beta.comm,1,79.81295424163956
beta.comm[84],beta.comm,1,79.4249071634348
beta.comm[85],beta.comm,1,109.20849800180804
beta.comm[86],beta.comm,1,93.45383741743524
beta.comm[87],beta.comm,1,77.6812234598193
beta.comm[88],beta.comm,1,60
beta.comm[89],beta.comm,1,77.98120532447517
beta.comm[90],beta.comm,1,77.85898300892394
beta.comm[91],beta.comm,1,76.39782660342374
beta.comm[92],beta.comm,1,85.54894083328065
beta.comm[93],beta.comm,1,77.07075883904928
beta.comm[94],beta.comm,1,109.04500042353037
beta.comm[95],beta.comm,1,112.43531190893573
beta.comm[96],beta.comm,1,79.05417418940729
beta.comm[97],beta.comm,1,91.11711714577667
beta.comm[98],beta.comm,1,97.91517714870544
beta.comm[99],beta.comm,1,75.52588428969543
beta.comm[100],beta.comm,1,113.13555952654158
beta.comm[101],beta.comm,1,98.88915584077941
beta.comm[102],beta.comm,1,108.84381761137871
beta.comm[103],beta.comm,1,128.13309346581877
beta.comm[104],beta.comm,1,96.64576285332942
beta.comm[105],beta.comm,1,118.6655318834686
beta.comm[106],beta.comm,1,59.999999999999986
beta.comm[107],beta.comm,1,60
beta.comm[108],beta.comm,1,80.66379072700447
beta.comm[109],beta.comm,1,88.95259724755732
beta.comm[110],beta.comm,1,75.1497869800538
beta.comm[111],beta.comm,1,90.4021006210885
beta.comm[112],beta.comm,1,75.40581082703945
beta.comm[113],beta.comm,1,92.07955333940744
beta.comm[114],beta.comm,1,79.34963120625208
