parameter,group,ess,rhat
beta.comm[1],beta.comm,467.5636168225948,NA
beta.comm[2],beta.comm,297.1600487604867,NA
beta.comm[3],beta.comm,322.341671342693,NA
beta.comm[4],beta.comm,215.52427397529942,NA
beta.comm[5],beta.comm,273.66369656862787,NA
beta.comm[6],beta.comm,288.3003227825896,NA
beta.comm[7],beta.comm,396.7637178517718,NA
beta.comm[8],beta.comm,497.7971538650891,NA
beta.comm[9],beta.comm,386.5695800888382,NA
beta.comm[10],beta.comm,346.6816707857095,NA
beta.comm[11],beta.comm,118.40648794312291,NA
beta.comm[12],beta.comm,241.081279441046,NA
beta.comm[13],beta.comm,640.8727841214593,NA
beta.comm[14],beta.comm,799.999999999999,NA
beta.comm[15],beta.comm,411.7202485145654,NA
alpha.comm[1],alpha.comm,799.9999999999984,NA
alpha.comm[2],alpha.comm,1071.8722499660198,NA
alpha.comm[3],alpha.comm,703.4494930963772,NA
alpha.comm[4],alpha.comm,799.9999999999992,NA
