period,grid_cell,CTI
P1,56,8.319422056576038
P1,57,8.447217587082594
P1,128,8.47800945964428
P1,198,8.35364643389112
P1,199,8.564846012975252
P1,203,8.050514933021107
P1,270,8.252923396116778
P1,271,8.303891590618461
P1,272,8.29896239302127
P1,274,8.518115184282388
P1,276,8.421370810503543
P1,341,8.396012296668298
P1,342,8.152556761796106
P1,343,8.236355468475557
P1,344,8.164217362279057
P1,345,8.065986188226674
P1,347,8.042426451458171
P1,412,8.302116847238281
P1,413,8.536486475189607
P1,414,8.530201359887185
P1,415,8.513663808796588
P1,416,8.49535786657378
P1,417,8.1684146457659
P1,418,8.191226962575874
P1,483,8.129708901682067
P1,484,8.099192960153609
P1,485,8.129149201227818
P1,486,8.197346009674039
P1,487,8.188390724364735
P1,554,8.132814961814361
P1,555,8.105912333821442
P1,556,8.035657788195996
P1,557,8.013009421494852
P1,558,8.044210538054989
P1,559,8.090492743812849
P1,560,8.0346619496618
P1,561,7.967087690382686
P1,563,8.10206342682487
P1,564,8.035005428905993
P1,592,8.842065849714315
P1,593,9.17801884296667
P1,625,8.119374148099094
P1,626,8.131014196396048
P1,627,8.149499660832372
P1,628,8.120765684111554
P1,629,8.1803483740665
P1,630,8.199931867601784
P1,634,8.43831075190174
P1,635,8.26690074906704
P1,636,8.074991868738548
P1,637,8.186843504776242
P1,640,8.511819305565036
P1,663,8.603272520768197
P1,664,8.56436129808293
P1,665,8.624144260115287
P1,666,8.480329170011732
P1,696,8.21599599918727
P1,698,8.172957889744815
P1,699,8.25095855886161
P1,700,7.949480914865714
P1,701,7.967441897788869
P1,702,7.9680833353483616
P1,704,8.212367900670257
P1,705,8.29829529993215
P1,706,8.273571596019204
P1,708,8.142925600774586
P1,710,8.21338729613441
P1,711,8.273826514300065
P1,712,8.22513137706149
P1,716,8.725081044278264
P1,717,8.47926893296146
P1,735,9.063214417535333
P1,736,9.162310313229137
P1,737,8.72238817193464
P1,738,9.245840194808766
P1,772,7.86900440007405
P1,773,7.8407096411293
P1,774,7.885038740593003
P1,775,7.856490876555869
P1,776,7.881137361613401
P1,777,7.944078487528165
P1,778,7.898014932878673
P1,783,8.052038581892363
P1,784,8.149945269863437
P1,787,8.198595505101126
P1,788,8.385337285133167
P1,804,8.599003416905607
P1,805,9.809988294123063
P1,806,9.798758775150532
P1,807,9.712493166149647
P1,808,9.844351326693086
P1,809,8.456450302865749
P1,810,8.480222044632853
P1,811,8.512393891146635
P1,812,8.49494699880202
P1,813,8.645864460377968
P1,845,8.228833143441662
P1,846,8.225287442799035
