grid_cell,grid_id,centroid_lon,centroid_lat,area_km2,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elev_mean,elev_sd,texture_shannon,texture_entropy,texture_contrast,npp_mean,landcover_trees,landcover_cropland,landcover_built,landcover_shrubs,landcover_grassland,landcover_water,hfi_2000,hfi_2005,hfi_2010,hfi_2015,hfi_2020,hfi_2024,hfi_mean,hfi_sd,habitat_diversity_shannon,habitat_diversity_richness,habitat_diversity_evenness,habitat_dominance,habitat_diversity_simpson,natural_landcover_fraction,human_modified_fraction,year_scaled
779,G00779,125.31498213467323,47.65711872820361,10000,-0.11959007028490305,12.222856283187866,-12.833633279800415,83.75,23.45,0.55,101.7517189025879,59.1,2.9,59.1,4,15.750888633728028,36.29502983093262,1018.1485809326172,20.33468770980835,-23.03341245651245,43.368100547790526,12.222856283187866,-7.375435376167298,3461.75,345.71023385123226,10643.770308123248,17386.73669467787,18558.795518207284,17.522878175359562,9.803921717253548e-8,3.1394335570134435e-5,5.751198293747543e-4,3.144989088912569e-4,0.007897211331099774,4.169281034197819e-4,1.3081980986864892,1.33024867899227,1.3279084565670074,1.3583964011275258,1.3850432217799735,1.41024367960436,1.353339756126271,0.0386948419746519,0.5811225596649294,4,0.41919131748864724,0.8551160892083484,0.2616890301580489,0.008628736382627985,6.065141649448887e-4,0
780,G00780,126.21329741879276,47.65711872820361,10000,-4.363314272214969,7.765604188044866,-17.043533166249592,179.125,46.541666666666664,1.8333333333333333,100.26154931386311,119.04166666666667,7.333333333333333,119.04166666666667,9.125,13.978303750356039,33.65284570058187,1009.5567220052084,14.960260391235352,-26.547645727793377,41.507906119028725,7.765604188044866,-13.25150352716446,4195.166666666667,362.1563038327472,18762.754010695186,31474.502673796793,43369.73529411765,33.170141767773195,5.497526374367517e-8,6.22319948138621e-6,2.1990104777474262e-7,1.316107743415995e-4,0.09105061030193365,7.192963173680408e-4,0.42704115863586634,0.45439677558442515,0.45968884005778765,0.4631274972590308,0.4803961076193843,0.47974079960769084,0.4607318631273642,0.019647117044908374,0.057311996262910336,1,0,0.9906710512339626,0.01850756268361653,0.09190157236890703,6.443100529160952e-6,0
781,G00781,127.11161270291227,47.65711872820361,10000,-4.259546852111816,7.546256184577942,-16.589999961853028,217.35,55.75,1.95,102.04196319580078,144.65,7.7,144.65,9.7,14.128464555740356,34.41680917739868,982.9692779541016,14.688300037384034,-26.322062492370605,41.010362434387204,7.546256184577942,-15.238918685913086,4201.8,312.6833946073215,20575.364145658263,34756.39215686275,65907.0700280112,56.748997768974924,7.298474903824619e-7,1.0893245912177289e-8,0,8.017429237064757e-6,0.2734105445739324,0.0011604684084387355,1.0112337192961403,1.0112337192961403,1.0112337192961403,1.0112337192961403,1.011691759357376,1.011691759357376,1.0113863993165522,2.365308705415752e-4,0.027691797849097418,1,0,0.9957417599501043,0.008480484653141773,0.2745797602590986,1.0893245912177289e-8,0
782,G00782,128.0099279870318,47.65711872820361,10000,-5.168664085865021,6.239760422706604,-17.109349918365478,279.9,70.75,2.15,103.52754249572754,185.8,8.25,185.8,10.1,13.461221885681152,33.883368492126465,949.9637634277344,12.984449911117554,-26.709487533569337,39.69393730163574,6.239760422706604,-15.621185350418092,4345.25,217.15380796981083,21347.958702064898,36010.88495575221,78909.0825958702,58.39792549871898,3.050108910890799e-7,0,3.6416122186105965e-5,8.071895453944236e-6,0.24750332255930466,0.10846058823721219,2.8787408170544566,2.8677382112155,2.8712934424880294,2.8755178999037323,2.8780725656064443,2.8780725656064443,2.874905916979101,0.004462337652135188,0.6160331313528169,2,0.8887479436260084,0.6952170548081158,0.42385727181865496,0.3559722877028619,3.6416122186105965e-5,0
783,G00783,128.90824327115132,47.65711872820361,10000,-4.468928376833598,6.7059270938237505,-16.192236065864563,324.3333333333333,83.125,1.375,108.42566172281902,220.16666666666666,5.625,220.16666666666666,7.083333333333333,14.194851477940878,35.63926680882772,931.6183547973633,13.586229284604391,-26.217416604359943,39.80364592870077,6.7059270938237505,-14.883407950401306,4140,246.55010955531765,29471.582887700533,49739.69251336899,167485.5588235294,131.630988316441,0,2.1786493409530529e-7,1.682352952374496e-4,6.851851826180879e-6,0.6610763725687862,0.003986699360022755,4.746174703236882,4.73904738089737,4.7332736006849485,4.796027602404648,4.8660288265544605,4.841143430625994,4.786949257400717,0.056764836264705125,0.03912127498191975,1,0,0.9937435894916947,0.012437699570699734,0.665069923780635,1.6845316017154489e-4,0
784,G00784,129.80655855527084,47.65711872820361,10000,-4.177014577388763,6.763458251953125,-15.634981155395508,379.15,95.1,1.05,108.95696563720703,255.4,4.75,255.4,5.45,13.776656198501588,35.38674049377441,911.0873291015625,13.553487539291382,-25.36592502593994,38.91941261291504,6.763458251953125,-14.309762525558472,3929.15,255.7752457056575,32698.980392156864,53989.87394957983,277672.2801120448,200.48468624105763,0.016921154705763403,2.637472783969507e-4,4.370370388555002e-4,4.2450980527658974e-5,0.690499422760767,0.0033162636192151725,5.721235863696363,5.697044700861523,5.667589318775671,5.7836506277293545,5.893662154810925,5.851981868226375,5.769194089016703,0.08987119919457034,0.151043726641645,2,0.21791003538328946,0.9705112562963056,0.057520024762755084,0.7107792920662733,7.00784317252451e-4,0
785,G00785,130.64864130222608,47.623905376174484,8391.924560433694,-0.5685742120646561,10.762864589691162,-12.76453991731008,379.75,91.79166666666667,1.2916666666666667,106.81656742095947,248.45833333333334,4.833333333333333,248.45833333333334,4.875,13.817238688468933,34.30321486790975,956.9603322347006,18.141333381334942,-22.120562314987183,40.26189581553141,10.762864589691162,-11.591949661572775,3043.125,696.8282373665007,31530.344919786097,52227.67647058824,261488.11497326204,241.09049787166524,0.0821682572715445,0.09436869718589408,0.0025954590450480547,0.0018456074783040663,0.6109446621169605,0.0026309730600017,7.701759123399147,7.701825487071728,7.583127554778138,7.7863095060233,8.197825262175979,8.256252966959371,7.871183316734611,0.28373928650873104,0.7414406484627943,3,0.6748883624464747,0.7689155507399261,0.3839411345586684,0.6975894999268107,0.09696415623094214,0
1250,G01250,95.59319619523832,43.216384623311185,8021.400274972188,15.07547051111857,25.549392954508463,3.9282763481140135,1010.2666666666667,179.23333333333332,16.1,63.00146725972493,443.23333333333335,59.03333333333333,438.6333333333333,59.03333333333333,9.151588249206544,28.194287045796713,874.2106669108073,30.5590082804362,-1.8973666767279307,32.45637512207031,24.969656944274902,3.9282763481140135,330.1333333333333,318.7543355576228,28062.090909090908,49494.45215311005,167025.91148325359,753.777186320019,0.5394324480648073,0.3393129427111724,0.0516134310401794,1.6165038715901784e-4,0.007552075716196679,0.022821876284535397,14.740833175985065,14.875275869581346,15.178500355106054,16.12884983709319,16.70854209188177,17.58582648614093,15.86963796929806,1.136387380530738,0.9771377385133386,4,0.7048558848093252,0.5613857615123974,0.5566398125963019,0.5699680504526983,0.3909263737513518,0
1731,G01731,75.082974025480965,38.52881378024169,8110.658235697422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
1734,G01734,77.7042720763386,38.49787796933202,10000,23.988489071528118,27.452516555786133,19.350414594014484,1644.7916666666667,286.7916666666667,22.958333333333332,73.23684310913086,791.375,79.79166666666667,659,85.45833333333333,6.986370662848155,43.484107653299965,334.9904441833496,31.266401052474976,15.186126510302225,16.080274661382038,25.997703790664673,20.368666728337605,226.54166666666666,170.36635184384184,28004.634382566586,49062.57627118644,127507.76513317191,1059.8132745846142,0.8722647704113607,0.03359201812066016,0.015091385985969919,1.7081800183553014e-4,0.014785375992890074,0.041789348081159916,11.99334044103912,12.175500787867826,12.438383390428237,12.910491747836561,14.49948531296533,13.681623328068785,12.94980416803431,0.9710341083290596,0.48165004590814986,5,0.2992659997549743,0.8921656707073737,0.20056598160185168,0.9290103124872462,0.04868340410663008,0
