grid_cell,metric,mk_S,mk_tau,mk_p
56,corrected_richness,10,1,0.02748633611151034
56,shannon,10,1,0.02748633611151034
56,inv_simpson,10,1,0.02748633611151034
56,trait_volume,-6,-0.6,0.2206713619198468
56,trait_dispersion,-6,-0.6,0.2206713619198468
56,rao_q,-8,-0.8,0.08641073297370003
56,feve,10,1,0.02748633611151034
56,fdiv,4,0.4,0.4624327264504763
56,fric_prob,0,0,1
56,fdiv_fund,-4,-0.4,0.4624327264504763
56,feve_fund,-10,-1,0.02748633611151034
56,fdis_prob,-8,-0.8,0.08641073297370003
56,fmpd_prob,-10,-1,0.02748633611151034
56,raoq_fund,-10,-1,0.02748633611151034
56,cwm_pc1,-8,-0.8,0.08641073297370003
56,cwm_pc2,10,1,0.02748633611151034
56,pd_prob_mctavish,10,1,0.02748633611151034
56,mpd_prob_mctavish,0,0,1
57,corrected_richness,10,1,0.02748633611151034
57,shannon,10,1,0.02748633611151034
57,inv_simpson,10,1,0.02748633611151034
57,trait_volume,0,0,1
57,trait_dispersion,6,0.6,0.2206713619198468
57,rao_q,-4,-0.4,0.4624327264504763
57,feve,8,0.8,0.08641073297370003
57,fdiv,-6,-0.6,0.2206713619198468
57,fric_prob,2,0.2,0.8064959405073402
57,fdiv_fund,2,0.2,0.8064959405073402
57,feve_fund,-10,-1,0.02748633611151034
57,fdis_prob,0,0,1
57,fmpd_prob,-4,-0.4,0.4624327264504763
57,raoq_fund,0,0,1
57,cwm_pc1,-10,-1,0.02748633611151034
57,cwm_pc2,10,1,0.02748633611151034
57,pd_prob_mctavish,10,1,0.02748633611151034
57,mpd_prob_mctavish,0,0,1
128,corrected_richness,10,1,0.02748633611151034
128,shannon,10,1,0.02748633611151034
128,inv_simpson,10,1,0.02748633611151034
128,trait_volume,-2,-0.2,0.8064959405073402
128,trait_dispersion,6,0.6,0.2206713619198468
128,rao_q,-2,-0.2,0.8064959405073402
128,feve,-4,-0.4,0.4624327264504763
128,fdiv,-8,-0.8,0.08641073297370003
128,fric_prob,2,0.2,0.8064959405073402
128,fdiv_fund,-2,-0.2,0.8064959405073402
128,feve_fund,-8,-0.8,0.08641073297370003
128,fdis_prob,-6,-0.6,0.2206713619198468
128,fmpd_prob,-2,-0.2,0.8064959405073402
128,raoq_fund,-8,-0.8,0.08641073297370003
128,cwm_pc1,-10,-1,0.02748633611151034
128,cwm_pc2,10,1,0.02748633611151034
128,pd_prob_mctavish,10,1,0.02748633611151034
128,mpd_prob_mctavish,-2,-0.2,0.8064959405073402
198,corrected_richness,10,1,0.02748633611151034
198,shannon,10,1,0.02748633611151034
198,inv_simpson,10,1,0.02748633611151034
198,trait_volume,-2,-0.2,0.8064959405073402
198,trait_dispersion,-2,-0.2,0.8064959405073402
198,rao_q,-8,-0.8,0.08641073297370003
198,feve,10,1,0.02748633611151034
198,fdiv,0,0,1
198,fric_prob,0,0,1
198,fdiv_fund,-4,-0.4,0.4624327264504763
198,feve_fund,-10,-1,0.02748633611151034
198,fdis_prob,-10,-1,0.02748633611151034
198,fmpd_prob,-8,-0.8,0.08641073297370003
198,raoq_fund,-8,-0.8,0.08641073297370003
198,cwm_pc1,-8,-0.8,0.08641073297370003
198,cwm_pc2,10,1,0.02748633611151034
198,pd_prob_mctavish,10,1,0.02748633611151034
198,mpd_prob_mctavish,0,0,1
199,corrected_richness,10,1,0.02748633611151034
199,shannon,10,1,0.02748633611151034
199,inv_simpson,10,1,0.02748633611151034
199,trait_volume,2,0.2,0.8064959405073402
199,trait_dispersion,8,0.8,0.08641073297370003
199,rao_q,4,0.4,0.4624327264504763
199,feve,0,0,1
199,fdiv,-8,-0.8,0.08641073297370003
199,fric_prob,2,0.2,0.8064959405073402
199,fdiv_fund,0,0,1
199,feve_fund,-10,-1,0.02748633611151034
199,fdis_prob,2,0.2,0.8064959405073402
199,fmpd_prob,4,0.4,0.4624327264504763
199,raoq_fund,4,0.4,0.4624327264504763
199,cwm_pc1,-8,-0.8,0.08641073297370003
199,cwm_pc2,10,1,0.02748633611151034
199,pd_prob_mctavish,10,1,0.02748633611151034
199,mpd_prob_mctavish,0,0,1
203,corrected_richness,10,1,0.02748633611151034
203,shannon,10,1,0.02748633611151034
203,inv_simpson,10,1,0.02748633611151034
203,trait_volume,-10,-1,0.02748633611151034
203,trait_dispersion,-10,-1,0.02748633611151034
203,rao_q,-10,-1,0.02748633611151034
203,feve,10,1,0.02748633611151034
203,fdiv,10,1,0.02748633611151034
203,fric_prob,0,0,1
203,fdiv_fund,-2,-0.2,0.8064959405073402
203,feve_fund,-10,-1,0.02748633611151034
203,fdis_prob,-10,-1,0.02748633611151034
203,fmpd_prob,-10,-1,0.02748633611151034
203,raoq_fund,-10,-1,0.02748633611151034
203,cwm_pc1,-10,-1,0.02748633611151034
203,cwm_pc2,10,1,0.02748633611151034
203,pd_prob_mctavish,10,1,0.02748633611151034
203,mpd_prob_mctavish,2,0.2,0.8064959405073402
270,corrected_richness,10,1,0.02748633611151034
270,shannon,10,1,0.02748633611151034
270,inv_simpson,10,1,0.02748633611151034
270,trait_volume,-6,-0.6,0.2206713619198468
270,trait_dispersion,-8,-0.8,0.08641073297370003
270,rao_q,-10,-1,0.02748633611151034
270,feve,10,1,0.02748633611151034
270,fdiv,2,0.2,0.8064959405073402
270,fric_prob,-2,-0.2,0.8064959405073402
270,fdiv_fund,-4,-0.4,0.4624327264504763
270,feve_fund,-10,-1,0.02748633611151034
270,fdis_prob,-10,-1,0.02748633611151034
270,fmpd_prob,-10,-1,0.02748633611151034
270,raoq_fund,-10,-1,0.02748633611151034
270,cwm_pc1,-8,-0.8,0.08641073297370003
270,cwm_pc2,10,1,0.02748633611151034
270,pd_prob_mctavish,10,1,0.02748633611151034
270,mpd_prob_mctavish,0,0,1
271,corrected_richness,10,1,0.02748633611151034
271,shannon,10,1,0.02748633611151034
271,inv_simpson,10,1,0.02748633611151034
271,trait_volume,-6,-0.6,0.2206713619198468
271,trait_dispersion,-6,-0.6,0.2206713619198468
271,rao_q,-8,-0.8,0.08641073297370003
271,feve,10,1,0.02748633611151034
271,fdiv,2,0.2,0.8064959405073402
271,fric_prob,0,0,1
271,fdiv_fund,-2,-0.2,0.8064959405073402
271,feve_fund,-10,-1,0.02748633611151034
271,fdis_prob,-10,-1,0.02748633611151034
271,fmpd_prob,-8,-0.8,0.08641073297370003
271,raoq_fund,-8,-0.8,0.08641073297370003
271,cwm_pc1,-8,-0.8,0.08641073297370003
