metric,term,estimate,se,t
corrected_richness,(Intercept),0.02339737445346341,0.02749876457889702,0.8508518405011882
corrected_richness,ett-1,-1.444500671555134,0.2907834241338117,-4.967616967363342
corrected_richness,ett0,-1.210469983879736,0.15592319332158017,-7.763245211270335
corrected_richness,ett1,-1.11124533902287,0.13588064058724306,-8.17809905973609
corrected_richness,ett2,-1.001445314916278,0.13061009907645882,-7.667441660311693
corrected_richness,ett3,-0.8813013839233215,0.12314968124222088,-7.156343199865096
trait_volume,(Intercept),-0.01713443941662151,0.029312600492375347,-0.5845417714159629
trait_volume,ett-1,1.0668610648428958,0.18097553626746377,5.89505679522442
trait_volume,ett0,0.9878370875607698,0.13509377293896924,7.312232577937111
trait_volume,ett1,0.9040680630327265,0.12976057946085565,6.967201185360405
trait_volume,ett2,0.8188312977688158,0.1284361125570277,6.375397709154749
trait_volume,ett3,0.6884669029930606,0.12657257455918405,5.4393055161498705
rao_q,(Intercept),-0.0127244833902956,0.02937797651451147,-0.4331300143837424
rao_q,ett-1,0.8365460402096654,0.17347843469164237,4.8221903875062315
rao_q,ett0,0.763848306205027,0.1338393525904657,5.7072026382428955
rao_q,ett1,0.6834487248835355,0.12933002233925645,5.284532643864575
rao_q,ett2,0.6167587207436905,0.12821405325644,4.810383145052874
rao_q,ett3,0.502682167333615,0.12664466649486164,3.96923282477127
