period,species,mean_psi_inside,mean_psi_outside,psi_diff,habitat_breadth,sp_group
P1,Passer montanus,0.8185585981369721,0.8723350906038695,-0.05377649246689742,5,specialist
P1,Pycnonotus sinensis,0.11462079730623403,0.4038471320369966,-0.2892263347307626,5,specialist
P1,Hirundo rustica,0.6594121626325425,0.7916338332767028,-0.13222167064416024,8,generalist
P1,Spilopelia chinensis,0.11577609730898224,0.37465693868101596,-0.2588808413720337,8,generalist
P1,Pica serica,0.25552343803129185,0.4147276759609268,-0.15920423792963495,5,specialist
P1,Motacilla alba,0.9669949541913142,0.949767164464347,0.017227789726967258,8,generalist
P1,Turdus mandarinus,0.10504066221761774,0.3457195497238843,-0.24067888750626656,5,specialist
P1,Egretta garzetta,0.17070347715414944,0.41303174679409804,-0.2423282696399486,8,generalist
P1,Parus minor,0.35373796311954914,0.5959852243450461,-0.24224726122549695,5,specialist
P1,Cyanopica cyanus,0.3254658224365974,0.41723799569201286,-0.09177217325541548,5,specialist
P1,Streptopelia orientalis,0.6495553496484054,0.7658208576546881,-0.11626550800628266,8,generalist
P1,Tachybaptus ruficollis,0.3078140019596599,0.5053513050986356,-0.19753730313897566,8,generalist
P1,Nycticorax nycticorax,0.2027489802964536,0.3725204559735485,-0.16977147567709489,8,generalist
P1,Gallinula chloropus,0.34723628044285293,0.5120542949390415,-0.1648180144961886,8,generalist
P1,Sinosuthora webbiana,0.13735983983499422,0.364627646706251,-0.22726780687125675,5,specialist
P1,Chloris sinica,0.432474828104389,0.6264741718868653,-0.1939993437824763,5,specialist
P1,Cecropis daurica,0.3370428079765628,0.6455973193673392,-0.30855451139077644,8,generalist
P1,Acridotheres cristatellus,0.08650759696347261,0.3243073885756197,-0.2377997916121471,8,generalist
P1,Ardeola bacchus,0.2510674835924903,0.49493366683431517,-0.24386618324182485,8,generalist
P1,Copsychus saularis,0.05721079269246195,0.2886303257371415,-0.23141953304467952,2,specialist
P1,Ardea cinerea,0.4634162098136618,0.5878663689316311,-0.12445015911796936,8,generalist
P1,Anas platyrhynchos,0.6845222060791065,0.6667091704700735,0.017813035609033023,8,generalist
P1,Lanius schach,0.10803726994366089,0.3353125447831338,-0.22727527483947293,5,specialist
P1,Spodiopsar cineraceus,0.23428771383717797,0.4269982315598891,-0.1927105177227111,8,generalist
P1,Alcedo atthis,0.370225124797905,0.6227978060671369,-0.2525726812692319,5,specialist
P1,Anas zonorhyncha,0.32271263211627216,0.4742381913634227,-0.15152555924715055,8,generalist
P1,Phasianus colchicus,0.47323828990823796,0.5639138322865614,-0.09067554237832348,5,specialist
P1,Zosterops simplex,0.1249034135169258,0.40106044759388365,-0.27615703407695785,5,specialist
P1,Cuculus canorus,0.9427003471229048,0.7605148138965937,0.18218553322631115,5,specialist
P1,Corvus macrorhynchos,0.44486486487566196,0.5028174493973945,-0.05795258452173252,5,specialist
P1,Upupa epops,0.8849873537998855,0.7251558364406878,0.15983151735919765,8,generalist
P1,Dendrocopos major,0.46682181390471933,0.5219665285607417,-0.05514471465602233,2,specialist
P1,Spodiopsar sericeus,0.03933276694806944,0.20972636544876733,-0.17039359850069788,5,specialist
P1,Dicrurus macrocercus,0.2387970349509697,0.4857264342620818,-0.24692939931111207,5,specialist
P1,Spizixos semitorques,0.05392493856230565,0.1898481010156647,-0.13592316245335906,5,specialist
P1,Phoenicurus auroreus,0.3949016010257987,0.6508737322837068,-0.25597213125790813,5,specialist
P1,Ardea alba,0.577669778725587,0.6905971610844928,-0.11292738235890576,8,generalist
P1,Himantopus himantopus,0.3616806048587417,0.42120695677282133,-0.05952635191407962,8,generalist
P1,Urocissa erythroryncha,0.0702962751585761,0.24690947409810937,-0.17661319893953326,2,specialist
P1,Aegithalos concinnus,0.1145900259266232,0.3135678724609365,-0.19897784653431327,2,specialist
P1,Lanius cristatus,0.4933701989244256,0.7132880952373324,-0.2199178963129068,8,generalist
P1,Fulica atra,0.3469348174760545,0.37732077465955727,-0.030385957183502788,8,generalist
P1,Horornis fortipes,0.08991140101368053,0.2900696225349299,-0.20015822152124937,2,specialist
P1,Eophona migratoria,0.16731382503748018,0.4047282418384651,-0.23741441680098493,5,specialist
P1,Podiceps cristatus,0.5258249992964356,0.502431970741472,0.023393028554963613,8,generalist
P1,Picus canus,0.5488459514575069,0.5919243657244836,-0.04307841426697667,2,specialist
P1,Phylloscopus inornatus,0.19409154069705925,0.5348033035288772,-0.3407117628318179,2,specialist
P1,Pterorhinus sannio,0.04673273209432125,0.12340497452242574,-0.0766722424281045,5,specialist
P1,Motacilla cinerea,0.7343884907887851,0.8228728672982921,-0.08848437650950702,8,generalist
P1,Sterna hirundo,0.6292206509224076,0.5026875859824124,0.12653306493999528,8,generalist
P1,Falco tinnunculus,0.876318581277777,0.7867391199479509,0.08957946132982608,8,generalist
P1,Hypsipetes leucocephalus,0.08973264744833012,0.27349690796181597,-0.18376426051348585,2,specialist
P1,Apus apus,0.6795044372398235,0.5559320122667764,0.1235724249730471,2,specialist
