grid_cell,selected,plan,budget
56,0,A_richness_led,0.3
57,0,A_richness_led,0.3
128,0,A_richness_led,0.3
198,0,A_richness_led,0.3
199,0,A_richness_led,0.3
203,0,A_richness_led,0.3
270,0,A_richness_led,0.3
271,0,A_richness_led,0.3
272,0,A_richness_led,0.3
274,0,A_richness_led,0.3
276,0,A_richness_led,0.3
341,0,A_richness_led,0.3
342,0,A_richness_led,0.3
343,0,A_richness_led,0.3
344,0,A_richness_led,0.3
345,0,A_richness_led,0.3
347,0,A_richness_led,0.3
412,0,A_richness_led,0.3
413,0,A_richness_led,0.3
414,0,A_richness_led,0.3
415,0,A_richness_led,0.3
416,0,A_richness_led,0.3
417,0,A_richness_led,0.3
418,0,A_richness_led,0.3
483,0,A_richness_led,0.3
484,0,A_richness_led,0.3
485,0,A_richness_led,0.3
486,0,A_richness_led,0.3
487,0,A_richness_led,0.3
554,0,A_richness_led,0.3
555,0,A_richness_led,0.3
556,0,A_richness_led,0.3
557,0,A_richness_led,0.3
558,0,A_richness_led,0.3
559,0,A_richness_led,0.3
560,0,A_richness_led,0.3
561,0,A_richness_led,0.3
563,0,A_richness_led,0.3
564,0,A_richness_led,0.3
592,0,A_richness_led,0.3
593,0,A_richness_led,0.3
625,0,A_richness_led,0.3
626,0,A_richness_led,0.3
627,0,A_richness_led,0.3
628,0,A_richness_led,0.3
629,0,A_richness_led,0.3
630,0,A_richness_led,0.3
634,0,A_richness_led,0.3
635,0,A_richness_led,0.3
636,0,A_richness_led,0.3
637,0,A_richness_led,0.3
640,0,A_richness_led,0.3
663,0,A_richness_led,0.3
664,0,A_richness_led,0.3
665,0,A_richness_led,0.3
666,0,A_richness_led,0.3
696,0,A_richness_led,0.3
698,0,A_richness_led,0.3
699,0,A_richness_led,0.3
700,0,A_richness_led,0.3
701,0,A_richness_led,0.3
702,0,A_richness_led,0.3
704,0,A_richness_led,0.3
705,0,A_richness_led,0.3
706,0,A_richness_led,0.3
708,0,A_richness_led,0.3
710,0,A_richness_led,0.3
711,0,A_richness_led,0.3
712,0,A_richness_led,0.3
716,1,A_richness_led,0.3
717,0,A_richness_led,0.3
735,0,A_richness_led,0.3
736,0,A_richness_led,0.3
737,0,A_richness_led,0.3
738,0,A_richness_led,0.3
772,0,A_richness_led,0.3
773,0,A_richness_led,0.3
774,0,A_richness_led,0.3
775,0,A_richness_led,0.3
776,0,A_richness_led,0.3
777,0,A_richness_led,0.3
778,0,A_richness_led,0.3
783,0,A_richness_led,0.3
784,0,A_richness_led,0.3
787,0,A_richness_led,0.3
788,0,A_richness_led,0.3
804,0,A_richness_led,0.3
805,0,A_richness_led,0.3
806,0,A_richness_led,0.3
807,0,A_richness_led,0.3
808,0,A_richness_led,0.3
809,0,A_richness_led,0.3
810,0,A_richness_led,0.3
811,0,A_richness_led,0.3
812,0,A_richness_led,0.3
813,0,A_richness_led,0.3
845,0,A_richness_led,0.3
846,0,A_richness_led,0.3
847,0,A_richness_led,0.3
848,0,A_richness_led,0.3
849,0,A_richness_led,0.3
850,0,A_richness_led,0.3
851,0,A_richness_led,0.3
855,0,A_richness_led,0.3
856,0,A_richness_led,0.3
857,0,A_richness_led,0.3
858,0,A_richness_led,0.3
859,0,A_richness_led,0.3
860,0,A_richness_led,0.3
876,0,A_richness_led,0.3
877,0,A_richness_led,0.3
878,0,A_richness_led,0.3
879,0,A_richness_led,0.3
881,0,A_richness_led,0.3
882,0,A_richness_led,0.3
883,0,A_richness_led,0.3
884,0,A_richness_led,0.3
885,0,A_richness_led,0.3
916,0,A_richness_led,0.3
917,0,A_richness_led,0.3
918,0,A_richness_led,0.3
920,0,A_richness_led,0.3
921,0,A_richness_led,0.3
922,0,A_richness_led,0.3
923,0,A_richness_led,0.3
927,0,A_richness_led,0.3
929,0,A_richness_led,0.3
931,0,A_richness_led,0.3
947,0,A_richness_led,0.3
948,0,A_richness_led,0.3
949,0,A_richness_led,0.3
950,0,A_richness_led,0.3
951,0,A_richness_led,0.3
952,0,A_richness_led,0.3
953,0,A_richness_led,0.3
955,0,A_richness_led,0.3
956,0,A_richness_led,0.3
985,0,A_richness_led,0.3
986,0,A_richness_led,0.3
987,0,A_richness_led,0.3
988,0,A_richness_led,0.3
989,0,A_richness_led,0.3
991,0,A_richness_led,0.3
992,0,A_richness_led,0.3
993,0,A_richness_led,0.3
994,0,A_richness_led,0.3
995,0,A_richness_led,0.3
996,0,A_richness_led,0.3
997,0,A_richness_led,0.3
999,0,A_richness_led,0.3
1001,0,A_richness_led,0.3
1002,0,A_richness_led,0.3
1003,0,A_richness_led,0.3
1018,0,A_richness_led,0.3
1019,0,A_richness_led,0.3
1021,0,A_richness_led,0.3
