species,threshold,d_AOO,infilling,expansion
Passer montanus,0.5,135.74015436662404,102.39197953583877,33.34817483078527
Pycnonotus sinensis,0.5,121.06538643472115,41.73581511399094,79.32957132073021
Hirundo rustica,0.5,139.26885858774511,90.27963294141571,48.98922564632941
Spilopelia chinensis,0.5,240.43230242719173,66.99307662937511,173.43922579781662
Pica serica,0.5,359.9472386992718,91.93828906488291,268.0089496343889
Motacilla alba,0.5,41.36863795181257,40.57049565705977,0.7981422947528058
Turdus mandarinus,0.5,128.9281211650282,44.6854737669833,84.24264739804488
Egretta garzetta,0.5,210.69355240913873,66.60468212867245,144.08887028046627
Parus minor,0.5,82.22744939608735,35.77678864036215,46.4506607557252
Cyanopica cyanus,0.5,112.2904794321119,39.4034011324462,72.8870782996657
Streptopelia orientalis,0.5,141.0385889292492,108.23042906735364,32.80815986189555
Tachybaptus ruficollis,0.5,293.7186097674739,115.23549124044172,178.48311852703216
Nycticorax nycticorax,0.5,269.83501976407695,81.87898172298779,187.9560380410892
Gallinula chloropus,0.5,324.65922048201895,112.33847270370785,212.32074777831107
Sinosuthora webbiana,0.5,134.52290859027295,47.901899025865035,86.6210095644079
Chloris sinica,0.5,46.735774718116566,22.076202906059066,24.659571812057496
Cecropis daurica,0.5,-11.767779620123818,-4.515577143849558,-7.252202476274259
Acridotheres cristatellus,0.5,69.29200305380536,27.527236937932162,41.764766115873194
Ardeola bacchus,0.5,44.48661199288198,21.23365854908919,23.252953443792794
Copsychus saularis,0.5,53.349224924059065,17.283218205138702,36.06600671892036
Ardea cinerea,0.5,293.9983114779684,110.96894576678201,183.0293657111864
Anas platyrhynchos,0.5,235.78715058679106,111.05760838059467,124.72954220619638
Lanius schach,0.5,129.79741185597277,37.36754741534515,92.42986444062763
Spodiopsar cineraceus,0.5,309.04503107349365,76.8760901478801,232.16894092561353
Alcedo atthis,0.5,88.74351547370341,48.39308331126728,40.350432162436135
Anas zonorhyncha,0.5,209.767275800653,72.3554887493497,137.41178705130332
Phasianus colchicus,0.5,286.31011434437886,78.88792179287263,207.42219255150624
Zosterops simplex,0.5,52.0315229359953,20.75108940615587,31.28043352983943
Cuculus canorus,0.5,184.94089168009938,77.1299250013109,107.8109666787885
Corvus macrorhynchos,0.5,182.2345388746554,109.98134038993105,72.25319848472436
Upupa epops,0.5,198.27614518812044,107.7244865319148,90.55165865620565
Dendrocopos major,0.5,89.69546484959251,41.59024453648609,48.105220313106415
Spodiopsar sericeus,0.5,192.86227166789845,38.52245591437748,154.33981575352098
Dicrurus macrocercus,0.5,-20.441900470516835,-9.389670477367618,-11.052229993149217
Spizixos semitorques,0.5,150.27340608099763,31.254998853079368,119.01840722791827
Phoenicurus auroreus,0.5,35.57676560303508,19.9844893577081,15.592276245326978
Ardea alba,0.5,136.6262259792929,80.37045653258531,56.25576944670759
Himantopus himantopus,0.5,361.59968388446316,59.89625232620256,301.7034315582606
Urocissa erythroryncha,0.5,232.02987600953242,52.02762843913575,180.00224757039666
Aegithalos concinnus,0.5,56.695499305342025,20.347458396393225,36.3480409089488
Lanius cristatus,0.5,5.967806308573843,5.225588842480706,0.7422174660931381
Fulica atra,0.5,507.72939046515654,79.77978262767199,427.94960783748456
Horornis fortipes,0.5,86.24268914691059,29.58506742765,56.6576217192606
Eophona migratoria,0.5,60.53484577220556,29.80947682995338,30.725368942252178
Podiceps cristatus,0.5,316.97587267768984,118.98427713977709,197.99159553791276
Picus canus,0.5,47.58246542310639,30.40073676719083,17.181728655915563
Phylloscopus inornatus,0.5,148.6302058556822,58.14746174664221,90.48274410903998
Pterorhinus sannio,0.5,196.08278452266617,18.170816829281705,177.91196769338447
Motacilla cinerea,0.5,103.13488034852111,83.39753233051717,19.737348018003935
Sterna hirundo,0.5,237.20962575786658,100.92464306293955,136.28498269492704
Falco tinnunculus,0.5,188.184266784289,136.10620945270983,52.07805733157917
Hypsipetes leucocephalus,0.5,46.700398028418924,16.661602603719963,30.03879542469896
Apus apus,0.5,40.72846138819548,22.81190173299862,17.916559655196853
Cuculus micropterus,0.5,105.86963525378489,41.8441406935423,64.02549456024259
Phalacrocorax carbo,0.5,180.81576736908593,87.15559053608307,93.66017683300285
Phoenicurus fuliginosus,0.5,126.77828190042682,49.91311532298851,76.8651665774383
Prinia inornata,0.5,110.06829460551455,26.764595569099004,83.30369903641555
Milvus migrans,0.5,155.8722073416238,111.18182564088931,44.69038170073449
Bubulcus coromandus,0.5,35.31904993553247,16.984614880319167,18.334435055213305
Phylloscopus proregulus,0.5,67.06835938974402,38.7574060351495,28.31095335459452
Acrocephalus orientalis,0.5,244.28412455026654,75.4570556401151,168.82706891015144
Aegithalos glaucogularis,0.5,166.66888373976187,39.764294322034885,126.90458941772697
Eudynamys scolopaceus,0.5,102.09854839431414,29.53046191254047,72.56808648177366
