variable,importance,draw,group
delta_t_mean,0.012003875953912254,397,climate_change
delta_t_extreme,0.030553988808922027,397,climate_change
delta_forest,0.010083580766723202,397,landuse_change
delta_impervious,0.023000782734223537,397,landuse_change
delta_natural,0.009233249553442716,397,landuse_change
delta_hfi,0.011275487906958063,397,human_change
bio11,0.046045970273035274,397,baseline
elev_mean,0.02182178597670721,397,baseline
centroid_lon,0.09221444519062791,397,baseline
centroid_lat,0.0319555125132782,397,baseline
delta_t_mean,0.011693650854797259,279,climate_change
delta_t_extreme,0.028399870089411885,279,climate_change
delta_forest,0.006859657726722114,279,landuse_change
delta_impervious,0.021446206975091035,279,landuse_change
delta_natural,0.010455299545919979,279,landuse_change
delta_hfi,0.011320596600939967,279,human_change
bio11,0.024412225716508452,279,baseline
elev_mean,0.023699504950920186,279,baseline
centroid_lon,0.1003185662292425,279,baseline
centroid_lat,0.01946251303187907,279,baseline
delta_t_mean,0.015246282851129948,187,climate_change
delta_t_extreme,0.03543951187571399,187,climate_change
delta_forest,0.010841891980512094,187,landuse_change
delta_impervious,0.026884995358828875,187,landuse_change
delta_natural,0.011917980839083825,187,landuse_change
delta_hfi,0.012471281157197008,187,human_change
bio11,0.024326985668825643,187,baseline
elev_mean,0.031853523174445786,187,baseline
centroid_lon,0.15483747217093718,187,baseline
centroid_lat,0.032334819876156176,187,baseline
delta_t_mean,0.013179372311372898,266,climate_change
delta_t_extreme,0.031481973448144365,266,climate_change
delta_forest,0.009664816693726826,266,landuse_change
delta_impervious,0.024049073008533036,266,landuse_change
delta_natural,0.013367468876617338,266,landuse_change
delta_hfi,0.011738067928559416,266,human_change
bio11,0.01959882937886769,266,baseline
elev_mean,0.024562816082745954,266,baseline
centroid_lon,0.10327228622612378,266,baseline
centroid_lat,0.02065130145472142,266,baseline
delta_t_mean,0.012864891391266547,369,climate_change
delta_t_extreme,0.02724923756309633,369,climate_change
delta_forest,0.008154405000918383,369,landuse_change
delta_impervious,0.025593583134731878,369,landuse_change
delta_natural,0.012093338219109556,369,landuse_change
delta_hfi,0.011189487193536785,369,human_change
bio11,0.026425890445918428,369,baseline
elev_mean,0.030169390744525997,369,baseline
centroid_lon,0.07069062407109795,369,baseline
centroid_lat,0.02049382750371048,369,baseline
delta_t_mean,0.016219036793529876,388,climate_change
delta_t_extreme,0.03200495646503249,388,climate_change
delta_forest,0.014012117263059143,388,landuse_change
delta_impervious,0.02585932657251113,388,landuse_change
delta_natural,0.010118415276384319,388,landuse_change
delta_hfi,0.011674313437301997,388,human_change
bio11,0.05092748513224537,388,baseline
elev_mean,0.020252930084738056,388,baseline
centroid_lon,0.13901060040648128,388,baseline
centroid_lat,0.028734172151650143,388,baseline
delta_t_mean,0.01711806742326135,27,climate_change
delta_t_extreme,0.03660787479161389,27,climate_change
delta_forest,0.010110474593494668,27,landuse_change
delta_impervious,0.026232803078901447,27,landuse_change
delta_natural,0.013725178331064895,27,landuse_change
delta_hfi,0.012147888846287307,27,human_change
bio11,0.03759805768393885,27,baseline
elev_mean,0.0324498865671509,27,baseline
centroid_lon,0.11473117632504252,27,baseline
centroid_lat,0.03240582448094172,27,baseline
delta_t_mean,0.016050636200442905,379,climate_change
delta_t_extreme,0.03268481013083051,379,climate_change
delta_forest,0.00847715528568619,379,landuse_change
delta_impervious,0.022255635341332736,379,landuse_change
delta_natural,0.011532754401013225,379,landuse_change
delta_hfi,0.00994527843295474,379,human_change
bio11,0.029139349652967973,379,baseline
elev_mean,0.021719301737234593,379,baseline
centroid_lon,0.13319360239057476,379,baseline
centroid_lat,0.02509300964278021,379,baseline
delta_t_mean,0.018098627238004438,373,climate_change
delta_t_extreme,0.03862802787236944,373,climate_change
delta_forest,0.010098612242403042,373,landuse_change
delta_impervious,0.02478978774548203,373,landuse_change
delta_natural,0.01191993566775083,373,landuse_change
delta_hfi,0.013469469065691783,373,human_change
bio11,0.03991064564261172,373,baseline
elev_mean,0.02855136252156867,373,baseline
centroid_lon,0.13955224048513737,373,baseline
centroid_lat,0.02920858346985446,373,baseline
delta_t_mean,0.014586575606532048,59,climate_change
delta_t_extreme,0.03364297084172527,59,climate_change
delta_forest,0.0094441150592143,59,landuse_change
delta_impervious,0.024388703951511808,59,landuse_change
delta_natural,0.012305041550438723,59,landuse_change
delta_hfi,0.010724939321773725,59,human_change
bio11,0.044515518063023965,59,baseline
elev_mean,0.02018958571811524,59,baseline
centroid_lon,0.1288472063869798,59,baseline
centroid_lat,0.027151941073649093,59,baseline
delta_t_mean,0.015793851284726188,159,climate_change
delta_t_extreme,0.026362798255959375,159,climate_change
delta_forest,0.013106886041865233,159,landuse_change
delta_impervious,0.027216045155870772,159,landuse_change
delta_natural,0.011097277804966226,159,landuse_change
delta_hfi,0.012030641528301671,159,human_change
bio11,0.024168003489579596,159,baseline
elev_mean,0.030794146057734638,159,baseline
centroid_lon,0.1293415718316781,159,baseline
centroid_lat,0.033287262294465825,159,baseline
delta_t_mean,0.01125156443818173,142,climate_change
delta_t_extreme,0.02668302376978584,142,climate_change
delta_forest,0.007597799982817088,142,landuse_change
delta_impervious,0.018138145141210784,142,landuse_change
delta_natural,0.009494897739178146,142,landuse_change
delta_hfi,0.00922912036597506,142,human_change
bio11,0.02449949747916484,142,baseline
elev_mean,0.03183886477687403,142,baseline
centroid_lon,0.0876449307415652,142,baseline
centroid_lat,0.01871773233741565,142,baseline
delta_t_mean,0.012925619285299731,37,climate_change
delta_t_extreme,0.028013731230689533,37,climate_change
delta_forest,0.008525603097183438,37,landuse_change
delta_impervious,0.019014305160935913,37,landuse_change
delta_natural,0.00982332580109362,37,landuse_change
delta_hfi,0.010439302816149161,37,human_change
bio11,0.020944729481667125,37,baseline
elev_mean,0.018336920366988366,37,baseline
centroid_lon,0.09985412653804251,37,baseline
centroid_lat,0.021617370482463257,37,baseline
delta_t_mean,0.012758055322315517,288,climate_change
delta_t_extreme,0.02645524159124156,288,climate_change
delta_forest,0.01051047644004278,288,landuse_change
delta_impervious,0.021463825793264987,288,landuse_change
delta_natural,0.010433021646858734,288,landuse_change
delta_hfi,0.01178239781445003,288,human_change
bio11,0.019545275836573443,288,baseline
elev_mean,0.02506120307090531,288,baseline
centroid_lon,0.09773848613458441,288,baseline
centroid_lat,0.020454615203791503,288,baseline
