variable,group,mean,median,sd,q_lo,q_hi,n_draws,label
centroid_lon,baseline,0.11108502799864678,0.10492350726994443,0.030781321689345355,0.06218307916441156,0.17305603131374978,100,Longitude
bio11,baseline,0.03188381567930353,0.030625655622608064,0.007763459340719125,0.01890118061319093,0.049072930106283115,100,Mean temperature (baseline)
delta_t_extreme,climate_change,0.029943817327135993,0.029113840139124898,0.006377916420253987,0.019268397498469432,0.04300353065806671,100,Extreme temperature change
elev_mean,baseline,0.028145568447460714,0.025579243040147547,0.011093749388798731,0.01496730336028243,0.05428055388699897,100,Elevation (baseline)
centroid_lat,baseline,0.02448025427713971,0.023790875901766775,0.005664754555204807,0.015809723879024,0.03515573583783272,100,Latitude
delta_impervious,landuse_change,0.023654385306154456,0.02343247511755482,0.005985911808288635,0.014362104817840032,0.03624737466493247,100,Impervious surface change
delta_t_mean,climate_change,0.0142436298894897,0.014120495727244158,0.0031271073700406063,0.009119461846751584,0.020633431199674104,100,Mean temperature change
delta_natural,landuse_change,0.011470305529121401,0.011009683639115253,0.002460573950623903,0.0075319324064101485,0.01719835417377951,100,Natural land cover change
delta_hfi,human_change,0.011203938612180763,0.011207034276050746,0.0027582589592693844,0.007292327861485157,0.017244973418765835,100,Human footprint change
delta_forest,landuse_change,0.01017245254713892,0.009828052495617991,0.002571814082662803,0.006686092654445497,0.015786186152924986,100,Forest cover change
