species,trend_class,trend_grade,trend_slope,p_positive,p_negative,mk_tau,mk_p,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Passer montanus,expanding,strong_expanding,0.024902108302817118,1,0,1,0.02748633611151034,0.19999999999999996,5,Woodland,2,1,Omnivore,Terrestrial,1
Pycnonotus sinensis,expanding,strong_expanding,0.023467781998621696,1,0,1,0.02748633611151034,0.2999999999999999,5,Human Modified,2,3,Herbivore,Insessorial,3
Hirundo rustica,expanding,strong_expanding,0.028579872271692407,1,0,1,0.02748633611151034,0.6999999999999997,8,Human Modified,3,3,Carnivore,Aerial,3
Spilopelia chinensis,expanding,strong_expanding,0.04681988365137539,1,0,1,0.02748633611151034,0.6,8,Woodland,3,1,Herbivore,Terrestrial,1
Pica serica,expanding,strong_expanding,0.07172795006820762,1,0,1,0.02748633611151034,0.6,5,NA,NA,NA,NA,NA,2
Motacilla alba,expanding,expanding,0.007821986217068118,0.9525,0.0475,1,0.02748633611151034,1,8,Human Modified,3,3,Carnivore,Terrestrial,3
Turdus mandarinus,expanding,strong_expanding,0.02629555666748831,1,0,1,0.02748633611151034,0.6,5,Forest,2,1,Omnivore,Generalist,1
Egretta garzetta,expanding,strong_expanding,0.03891836926091709,1,0,1,0.02748633611151034,0.3999999999999998,8,Wetland,3,2,Carnivore,Terrestrial,2
Parus minor,stable,stable,0.013363947497524334,0.9475,0.0525,0.6,0.2206713619198468,0.6,5,NA,NA,NA,NA,NA,2
Cyanopica cyanus,expanding,strong_expanding,0.021724440284457767,1,0,1,0.02748633611151034,0.6999999999999997,5,Woodland,2,1,Omnivore,Generalist,1
Streptopelia orientalis,expanding,expanding,0.02537725867183705,0.975,0.025,0.8,0.08641073297370003,0.19999999999999993,8,Woodland,3,3,Herbivore,Terrestrial,3
Tachybaptus ruficollis,expanding,strong_expanding,0.05995892957008525,1,0,1,0.02748633611151034,0.6000000000000001,8,Wetland,3,1,Carnivore,Aquatic,1
Nycticorax nycticorax,expanding,strong_expanding,0.057502064608214096,1,0,1,0.02748633611151034,0.1333333333333333,8,Wetland,3,3,Carnivore,Terrestrial,3
Gallinula chloropus,expanding,strong_expanding,0.06713404968326424,1,0,1,0.02748633611151034,0.16,8,Wetland,3,1,Omnivore,Terrestrial,1
Sinosuthora webbiana,expanding,strong_expanding,0.027919859526823628,1,0,1,0.02748633611151034,0.6,5,Shrubland,2,1,Herbivore,Insessorial,1
Chloris sinica,expanding,expanding,0.01004275204707235,0.955,0.045,0.8,0.08641073297370003,0.6,5,Shrubland,2,1,Herbivore,Generalist,1
Cecropis daurica,stable,stable,-6.357988633352222e-5,0.4875,0.5125,0,1,0.6,8,Grassland,3,3,Carnivore,Aerial,3
Acridotheres cristatellus,expanding,strong_expanding,0.01795706111585599,0.995,0.005,0.6,0.2206713619198468,0.39999999999999986,8,Grassland,3,2,Omnivore,Generalist,2
Ardeola bacchus,expanding,expanding,0.014782619893414471,0.9675,0.0325,0.6,0.2206713619198468,0.5999999999999996,8,Wetland,3,2,Carnivore,Terrestrial,2
