species,mean_trend,l95,u95,p_pos,direction,n_grid_first,n_grid_last,n_grid_delta,order_lat,family_lat,genus_lat,body_mass_g,body_length_mm,clutch_size,egg_volume_mm3,longevity_y,maturity_y,avonet_hwi,elev_range_m,avonet_range_size,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,niche_rel,diet_specialization,habitat_breadth_data,habitat_openness_avonet,migration_class,migration_score
Passer montanus,0.027590107953580717,0.014852928326325586,0.040340039519174,1,Winner,1200.59,1306.58,105.99000000000001,PASSERIFORMES,Passeridae,Passer,20,132.5,5.5,2600.4594,13.1,0.8733744010951403,24.6,4400,39069801.39,Woodland,2,1,Omnivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3273971828683893,1.5,1,1
Motacilla alba,0.007805351084109294,-0.004594731343184243,0.02108881710479603,0.895,Neutral,1278.545,1305.485,26.939999999999827,PASSERIFORMES,Motacillidae,Motacilla,22.5,175.5,5.5,2872.32,13.7,0.999315537303217,31.4,5000,39488711.64,Human Modified,3,3,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.3312083680038365,4,3,3
Hirundo rustica,0.030287339673388577,0.016094185475466986,0.043912074012736044,1,Winner,1092,1228.115,136.115,PASSERIFORMES,Hirundinidae,Hirundo,18,165.5,4.5,3264,16,0.999315537303217,52.6,3000,51701054.06,Human Modified,3,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.327041514165251,4,3,3
Parus minor,0.01692825601046626,0.0034457076631545735,0.03208171059407613,0.985,Winner,741.5400000000001,862.855,121.31499999999994,PASSERIFORMES,Paridae,Parus,306.59629111652225,381.5013948412698,3.5625327017037547,21677.51269588726,18.83604365079365,1.756734967747288,35.20919406565655,1718.8231787286793,5948685.47373649,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.3352575001434122,2,NA,2
Pica serica,0.06848828138745518,0.05408529303469489,0.0834647021524641,1,Winner,520.5,911.24,390.74,PASSERIFORMES,Corvidae,Pica,514.0272402435065,468.5451954365081,5,27361.16793122713,19.99674841269841,1.9527849927849923,37.776778373015865,2048.236815920191,7661560.180766787,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.3399479664864657,2,NA,2
Streptopelia orientalis,0.03690277560227022,0.014184592362919529,0.06113972156209782,1,Winner,1053.49,1258.31,204.81999999999994,COLUMBIFORMES,Columbidae,Streptopelia,249,329.5,2,13756.23,17.663544642857147,1.2181580619927628,32.8,4000,16926350.97,Woodland,3,3,Herbivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.3414199697538118,1.5,3,3
Phoenicurus auroreus,0.011463214585990955,-0.002920550709886073,0.024148896985724814,0.94,Neutral,827.225,902.79,75.56499999999994,PASSERIFORMES,Muscicapidae,Phoenicurus,18,143.5,6.5,2611.2,10.858134920634916,0.9843818079593208,20.5,3700,4822744.76,Forest,2,3,Omnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.341790819754423,1,3,3
Spilopelia chinensis,0.05141749399836968,0.03932720507270536,0.06278561155010545,1,Winner,417.66999999999996,696.115,278.44500000000005,COLUMBIFORMES,Columbidae,Spilopelia,159,313.3732490079365,2,13585.906032032355,16.484078679653678,1.4514155384884326,30.3,1000,7371539.16,Woodland,3,1,Herbivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3286254259660466,1.5,1,1
Falco tinnunculus,0.04098537540463568,0.02191676179701942,0.06016020198140018,1,Winner,1152.975,1307.805,154.83000000000015,FALCONIFORMES,Falconidae,Falco,206.5,328,4.5,18796.38966,23.8,0.999315537303217,51,5500,49037026.09,Shrubland,3,3,Carnivore,Vertivore,Aerial,0.05449936628643853,0.9455006337135614,1.3302656201447123,2,3,3
Pycnonotus sinensis,0.02410550956515212,0.015014629771523933,0.03574204379225936,1,Winner,466.275,610.395,144.12,PASSERIFORMES,Pycnonotidae,Pycnonotus,34.5,193,4,3372.8544,14.60153863636364,1.492636450799181,20.8,500,3154277.75,Human Modified,2,3,Herbivore,Frugivore,Insessorial,0.021546261089987327,0.9784537389100126,1.304610965781247,4,3,3
