mean,sd,q025,median,q975,metric,grid_cell
1,0,1,1,1,synchrony,56
1,0,1,1,1,synchrony,57
1,0,1,1,1,synchrony,128
1,0,1,1,1,synchrony,198
1,0,1,1,1,synchrony,199
1,0,1,1,1,synchrony,203
1,0,1,1,1,synchrony,270
1,0,1,1,1,synchrony,271
1,0,1,1,1,synchrony,272
1,0,1,1,1,synchrony,274
1,0,1,1,1,synchrony,276
1,0,1,1,1,synchrony,341
1,0,1,1,1,synchrony,342
1,0,1,1,1,synchrony,343
1,0,1,1,1,synchrony,344
1,0,1,1,1,synchrony,345
1,0,1,1,1,synchrony,347
1,0,1,1,1,synchrony,412
1,0,1,1,1,synchrony,413
1,0,1,1,1,synchrony,414
1,0,1,1,1,synchrony,415
1,0,1,1,1,synchrony,416
1,0,1,1,1,synchrony,417
1,0,1,1,1,synchrony,418
1,0,1,1,1,synchrony,483
1,0,1,1,1,synchrony,484
1,0,1,1,1,synchrony,485
1,0,1,1,1,synchrony,486
1,0,1,1,1,synchrony,487
1,0,1,1,1,synchrony,554
1,0,1,1,1,synchrony,555
1,0,1,1,1,synchrony,556
1,0,1,1,1,synchrony,557
1,0,1,1,1,synchrony,558
1,0,1,1,1,synchrony,559
1,0,1,1,1,synchrony,560
1,0,1,1,1,synchrony,561
1,0,1,1,1,synchrony,563
1,0,1,1,1,synchrony,564
1,0,1,1,1,synchrony,592
1,0,1,1,1,synchrony,593
1,0,1,1,1,synchrony,625
1,0,1,1,1,synchrony,626
1,0,1,1,1,synchrony,627
1,0,1,1,1,synchrony,628
1,0,1,1,1,synchrony,629
1,0,1,1,1,synchrony,630
1,0,1,1,1,synchrony,634
1,0,1,1,1,synchrony,635
1,0,1,1,1,synchrony,636
1,0,1,1,1,synchrony,637
1,0,1,1,1,synchrony,640
1,0,1,1,1,synchrony,663
1,0,1,1,1,synchrony,664
1,0,1,1,1,synchrony,665
1,0,1,1,1,synchrony,666
1,0,1,1,1,synchrony,696
1,0,1,1,1,synchrony,698
1,0,1,1,1,synchrony,699
1,0,1,1,1,synchrony,700
1,0,1,1,1,synchrony,701
1,0,1,1,1,synchrony,702
1,0,1,1,1,synchrony,704
1,0,1,1,1,synchrony,705
1,0,1,1,1,synchrony,706
1,0,1,1,1,synchrony,708
1,0,1,1,1,synchrony,710
1,0,1,1,1,synchrony,711
1,0,1,1,1,synchrony,712
1,0,1,1,1,synchrony,716
1,0,1,1,1,synchrony,717
1,0,1,1,1,synchrony,735
1,0,1,1,1,synchrony,736
1,0,1,1,1,synchrony,737
1,0,1,1,1,synchrony,738
1,0,1,1,1,synchrony,772
1,0,1,1,1,synchrony,773
1,0,1,1,1,synchrony,774
1,0,1,1,1,synchrony,775
1,0,1,1,1,synchrony,776
1,0,1,1,1,synchrony,777
1,0,1,1,1,synchrony,778
1,0,1,1,1,synchrony,783
1,0,1,1,1,synchrony,784
1,0,1,1,1,synchrony,787
1,0,1,1,1,synchrony,788
1,0,1,1,1,synchrony,804
1,0,1,1,1,synchrony,805
1,0,1,1,1,synchrony,806
1,0,1,1,1,synchrony,807
1,0,1,1,1,synchrony,808
1,0,1,1,1,synchrony,809
1,0,1,1,1,synchrony,810
1,0,1,1,1,synchrony,811
1,0,1,1,1,synchrony,812
1,0,1,1,1,synchrony,813
1,0,1,1,1,synchrony,845
1,0,1,1,1,synchrony,846
1,0,1,1,1,synchrony,847
1,0,1,1,1,synchrony,848
1,0,1,1,1,synchrony,849
1,0,1,1,1,synchrony,850
1,0,1,1,1,synchrony,851
1,0,1,1,1,synchrony,855
1,0,1,1,1,synchrony,856
1,0,1,1,1,synchrony,857
1,0,1,1,1,synchrony,858
1,0,1,1,1,synchrony,859
1,0,1,1,1,synchrony,860
1,0,1,1,1,synchrony,876
1,0,1,1,1,synchrony,877
1,0,1,1,1,synchrony,878
1,0,1,1,1,synchrony,879
1,0,1,1,1,synchrony,881
1,0,1,1,1,synchrony,882
1,0,1,1,1,synchrony,883
1,0,1,1,1,synchrony,884
1,0,1,1,1,synchrony,885
1,0,1,1,1,synchrony,916
1,0,1,1,1,synchrony,917
1,0,1,1,1,synchrony,918
1,0,1,1,1,synchrony,920
1,0,1,1,1,synchrony,921
1,0,1,1,1,synchrony,922
1,0,1,1,1,synchrony,923
1,0,1,1,1,synchrony,927
1,0,1,1,1,synchrony,929
1,0,1,1,1,synchrony,931
1,0,1,1,1,synchrony,947
1,0,1,1,1,synchrony,948
1,0,1,1,1,synchrony,949
1,0,1,1,1,synchrony,950
1,0,1,1,1,synchrony,951
1,0,1,1,1,synchrony,952
1,0,1,1,1,synchrony,953
1,0,1,1,1,synchrony,955
1,0,1,1,1,synchrony,956
1,0,1,1,1,synchrony,985
1,0,1,1,1,synchrony,986
1,0,1,1,1,synchrony,987
1,0,1,1,1,synchrony,988
1,0,1,1,1,synchrony,989
1,0,1,1,1,synchrony,991
1,0,1,1,1,synchrony,992
1,0,1,1,1,synchrony,993
1,0,1,1,1,synchrony,994
1,0,1,1,1,synchrony,995
1,0,1,1,1,synchrony,996
1,0,1,1,1,synchrony,997
1,0,1,1,1,synchrony,999
1,0,1,1,1,synchrony,1001
1,0,1,1,1,synchrony,1002
1,0,1,1,1,synchrony,1003
1,0,1,1,1,synchrony,1018
1,0,1,1,1,synchrony,1019
1,0,1,1,1,synchrony,1021
1,0,1,1,1,synchrony,1022
1,0,1,1,1,synchrony,1023
1,0,1,1,1,synchrony,1025
1,0,1,1,1,synchrony,1027
1,0,1,1,1,synchrony,1028
1,0,1,1,1,synchrony,1029
1,0,1,1,1,synchrony,1055
1,0,1,1,1,synchrony,1057
1,0,1,1,1,synchrony,1058
1,0,1,1,1,synchrony,1061
1,0,1,1,1,synchrony,1063
1,0,1,1,1,synchrony,1064
1,0,1,1,1,synchrony,1065
1,0,1,1,1,synchrony,1066
1,0,1,1,1,synchrony,1068
1,0,1,1,1,synchrony,1069
1,0,1,1,1,synchrony,1070
1,0,1,1,1,synchrony,1073
1,0,1,1,1,synchrony,1075
1,0,1,1,1,synchrony,1076
1,0,1,1,1,synchrony,1089
1,0,1,1,1,synchrony,1090
