species,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Passer montanus,0.19999999999999996,5,Woodland,2,1,Omnivore,Terrestrial,1
Pycnonotus sinensis,0.2999999999999999,5,Human Modified,2,3,Herbivore,Insessorial,3
Hirundo rustica,0.6999999999999997,8,Human Modified,3,3,Carnivore,Aerial,3
Spilopelia chinensis,0.6,8,Woodland,3,1,Herbivore,Terrestrial,1
Pica serica,0.6,5,NA,NA,NA,NA,NA,2
Motacilla alba,1,8,Human Modified,3,3,Carnivore,Terrestrial,3
Turdus mandarinus,0.6,5,Forest,2,1,Omnivore,Generalist,1
Egretta garzetta,0.3999999999999998,8,Wetland,3,2,Carnivore,Terrestrial,2
Parus minor,0.6,5,NA,NA,NA,NA,NA,2
Cyanopica cyanus,0.6999999999999997,5,Woodland,2,1,Omnivore,Generalist,1
Streptopelia orientalis,0.19999999999999993,8,Woodland,3,3,Herbivore,Terrestrial,3
Tachybaptus ruficollis,0.6000000000000001,8,Wetland,3,1,Carnivore,Aquatic,1
Nycticorax nycticorax,0.1333333333333333,8,Wetland,3,3,Carnivore,Terrestrial,3
Gallinula chloropus,0.16,8,Wetland,3,1,Omnivore,Terrestrial,1
Sinosuthora webbiana,0.6,5,Shrubland,2,1,Herbivore,Insessorial,1
Chloris sinica,0.6,5,Shrubland,2,1,Herbivore,Generalist,1
Cecropis daurica,0.6,8,Grassland,3,3,Carnivore,Aerial,3
Acridotheres cristatellus,0.39999999999999986,8,Grassland,3,2,Omnivore,Generalist,2
Ardeola bacchus,0.5999999999999996,8,Wetland,3,2,Carnivore,Terrestrial,2
Copsychus saularis,0.6,2,Woodland,1,1,Carnivore,Terrestrial,1
Ardea cinerea,0.5333333333333333,8,Wetland,3,1,Carnivore,Terrestrial,1
Anas platyrhynchos,0.35,8,Wetland,3,2,Herbivore,Aquatic,2
Lanius schach,0.3999999999999998,5,Shrubland,2,2,Carnivore,Insessorial,2
Spodiopsar cineraceus,0.6,8,Grassland,3,1,Carnivore,Terrestrial,1
Alcedo atthis,0.39999999999999997,5,Riverine,2,1,Carnivore,Insessorial,1
Anas zonorhyncha,0.6,8,Wetland,3,2,Herbivore,Aquatic,2
Phasianus colchicus,0.19999999999999996,5,Human Modified,2,1,Herbivore,Terrestrial,1
Zosterops simplex,0.6,5,Forest,2,1,Omnivore,Insessorial,1
Cuculus canorus,0.8,5,Forest,2,3,Carnivore,Insessorial,3
Corvus macrorhynchos,0.2799999999999999,5,Woodland,2,1,Omnivore,Generalist,1
