fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.0016006786771766146,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.011116428922606891,TRUE
[c] = X3 | X1+X2+X4,1,NA,0.0021492733199659497,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.29267080809177193,TRUE
[e],0,NA,0.003256660660084676,FALSE
[f],0,NA,0.007948518279629502,FALSE
[g],0,NA,-3.9182665158532526e-4,FALSE
[h],0,NA,0.18738967291314423,FALSE
[i],0,NA,0.030944930101848622,FALSE
[j],0,NA,0.003393197668758896,FALSE
[k],0,NA,0.039459502497215304,FALSE
[l],0,NA,-0.0021372871264581095,FALSE
[m],0,NA,-0.00165455700769912,FALSE
[n],0,NA,0.037771123337793644,FALSE
[o],0,NA,-0.047544754486516294,FALSE
[p] = Residuals,0,NA,0.4340276308022626,FALSE
