fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.004261608885867574,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.004444073055800524,TRUE
[c] = X3 | X1+X2+X4,1,NA,-2.0721256368150254e-4,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.2629109447710687,TRUE
[e],0,NA,0.0027667114868638043,FALSE
[f],0,NA,-4.287958110844592e-4,FALSE
[g],0,NA,-1.4229865206383252e-5,FALSE
[h],0,NA,0.01680379830078338,FALSE
[i],0,NA,0.06992363320613781,FALSE
[j],0,NA,0.0013669591161978856,FALSE
[k],0,NA,0.01486357682371442,FALSE
[l],0,NA,6.646273556343285e-5,FALSE
[m],0,NA,0.042375110669824245,FALSE
[n],0,NA,-0.0020579061047990566,FALSE
[o],0,NA,-0.016255005794572286,FALSE
[p] = Residuals,0,NA,0.5991802710875219,FALSE
