fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.002434419957542455,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.0018834078486891226,TRUE
[c] = X3 | X1+X2+X4,1,NA,7.79436245901266e-6,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.2564038429665487,TRUE
[e],0,NA,0.0019409186919469024,FALSE
[f],0,NA,-2.3318505046143745e-4,FALSE
[g],0,NA,-2.1048641569276771e-4,FALSE
[h],0,NA,0.07685095736500835,FALSE
[i],0,NA,0.050125637241117627,FALSE
[j],0,NA,0.024366901365068472,FALSE
[k],0,NA,0.0028426516583590633,FALSE
[l],0,NA,0.0011646063187966682,FALSE
[m],0,NA,-0.024929589766965354,FALSE
[n],0,NA,0.034859232983862176,FALSE
[o],0,NA,-0.027004222480624396,FALSE
[p] = Residuals,0,NA,0.5994971129543454,FALSE
