fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.02144042973061122,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.007791080974682507,TRUE
[c] = X3 | X1+X2+X4,1,NA,-6.725433724821261e-4,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.16673860565967003,TRUE
[e],0,NA,-0.0020302766207139777,FALSE
[f],0,NA,1.5186231446484566e-4,FALSE
[g],0,NA,-2.9953703917562358e-5,FALSE
[h],0,NA,0.1079771600395345,FALSE
[i],0,NA,9.9597628240633e-4,FALSE
[j],0,NA,1.5449841599357583e-4,FALSE
[k],0,NA,0.014578240943774023,FALSE
[l],0,NA,1.3315855808704313e-4,FALSE
[m],0,NA,0.021802757209749557,FALSE
[n],0,NA,0.0042250923808273555,FALSE
[o],0,NA,-0.023553897992657058,FALSE
[p] = Residuals,0,NA,0.6802978091799697,FALSE
