fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.02114932208676168,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.006248879952971742,TRUE
[c] = X3 | X1+X2+X4,1,NA,-5.192792560717585e-4,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.16986436433932073,TRUE
[e],0,NA,-0.001246290880726031,FALSE
[f],0,NA,-9.075235574274032e-5,FALSE
[g],0,NA,-2.1615081562786909e-4,FALSE
[h],0,NA,0.10914977203512966,FALSE
[i],0,NA,7.39591088734004e-4,FALSE
[j],0,NA,4.858658831597973e-4,FALSE
[k],0,NA,0.01487121381401224,FALSE
[l],0,NA,6.247178319981339e-4,FALSE
[m],0,NA,0.022097890730199188,FALSE
[n],0,NA,0.002880782663433279,FALSE
[o],0,NA,-0.023088560684024984,FALSE
[p] = Residuals,0,NA,0.6770486335664729,FALSE
