fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.01052926203810467,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.006833635371877422,TRUE
[c] = X3 | X1+X2+X4,1,NA,7.960244169447073e-4,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.3634631629351651,TRUE
[e],0,NA,0.006611963905124529,FALSE
[f],0,NA,-1.737559183777604e-4,FALSE
[g],0,NA,-4.0115796068751486e-4,FALSE
[h],0,NA,0.14486670910311783,FALSE
[i],0,NA,0.06284422906318743,FALSE
[j],0,NA,-7.271480148688392e-4,FALSE
[k],0,NA,0.038552907920793245,FALSE
[l],0,NA,-5.628421528914851e-4,FALSE
[m],0,NA,0.02580734630385717,FALSE
[n],0,NA,0.020587038693208548,FALSE
[o],0,NA,-0.045013319978355226,FALSE
[p] = Residuals,0,NA,0.36598594427380016,FALSE
