fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.04424507881615902,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.02099447431664081,TRUE
[c] = X3 | X1+X2+X4,1,NA,0.003127395201864891,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.19896949933267405,TRUE
[e],0,NA,0.023657865046355253,FALSE
[f],0,NA,-0.0021811720817266345,FALSE
[g],0,NA,-0.0016604369692712062,FALSE
[h],0,NA,0.05779490408433552,FALSE
[i],0,NA,0.04733135018857648,FALSE
[j],0,NA,0.013121144454657507,FALSE
[k],0,NA,0.01787400008215534,FALSE
[l],0,NA,1.948173366711492e-4,FALSE
[m],0,NA,0.04782056334892082,FALSE
[n],0,NA,-0.013078712507867851,FALSE
[o],0,NA,-0.0246975902144162,FALSE
[p] = Residuals,0,NA,0.566486819564271,FALSE
