fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,1,NA,0.005131556022050843,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.03598075788787003,TRUE
[c] = X3 | X1+X2+X4,1,NA,0.0070540563547852875,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.21289664645616357,TRUE
[e],0,NA,-0.0011435654613177748,FALSE
[f],0,NA,0.0013528378962992527,FALSE
[g],0,NA,-0.0011015265231635318,FALSE
[h],0,NA,-0.006902509482215824,FALSE
[i],0,NA,0.04981154585320613,FALSE
[j],0,NA,-0.006261195381892515,FALSE
[k],0,NA,0.001609072927114541,FALSE
[l],0,NA,-7.578221842099442e-4,FALSE
[m],0,NA,0.03897262641151067,FALSE
[n],0,NA,0.0010341788039393007,FALSE
[o],0,NA,6.840865027496479e-4,FALSE
[p] = Residuals,0,NA,0.6616392539171103,FALSE
