fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.0011781577258819231,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.0010633680006012503,TRUE
[c] = X3 | X1+X2+X4,1,NA,0.0015913344545871455,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.42137205099544506,TRUE
[e],0,NA,6.544734665725471e-5,FALSE
[f],0,NA,0.00965808976504623,FALSE
[g],0,NA,1.0007651619092783e-4,FALSE
[h],0,NA,0.1956139883845357,FALSE
[i],0,NA,0.09590378920982023,FALSE
[j],0,NA,0.001395293012225185,FALSE
[k],0,NA,0.031268130418405815,FALSE
[l],0,NA,0.0010435976013879467,FALSE
[m],0,NA,0.038311645368515945,FALSE
[n],0,NA,0.033034869172153924,FALSE
[o],0,NA,-0.07690289892832625,FALSE
[p] = Residuals,0,NA,0.2453030609568717,FALSE
