fraction,Df,R.square,adj_r2,Testable
[a] = X1 | X2+X3+X4,2,NA,0.016255483433649354,TRUE
[b] = X2 | X1+X3+X4,3,NA,0.01282729742075328,TRUE
[c] = X3 | X1+X2+X4,1,NA,0.0026076411587518944,TRUE
[d] = X4 | X1+X2+X3,4,NA,0.25810090041337985,TRUE
[e],0,NA,0.00738346521051414,FALSE
[f],0,NA,0.028705470396026334,FALSE
[g],0,NA,0.001367893956456423,FALSE
[h],0,NA,0.05761358893214863,FALSE
[i],0,NA,0.07062874553684106,FALSE
[j],0,NA,0.0012615209519943882,FALSE
[k],0,NA,-0.004851172628247413,FALSE
[l],0,NA,0.014931706247031884,FALSE
[m],0,NA,-0.004852499070940541,FALSE
[n],0,NA,0.01489459262280346,FALSE
[o],0,NA,-0.04936670691130174,FALSE
[p] = Residuals,0,NA,0.572492072330139,FALSE
